measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
fedavg-ctk,call-graph,family,gappusin,own-domain,0.05,6,0.1507528002304577,0.09330232944685168,0.05745047078360601,0.09425200803212848,5,-0.03165849673202619,0.10188695960311837,0.15625,0.28125,,0.03,false,false,false
fedavg-ctk,call-graph,family,hiddad,federation-wide,0.05,10,0.05102748840536973,0.08833766986435496,-0.037310181458985216,-0.010593906479659215,3,-0.19113329733419038,0.03464000915046194,0.556640625,0.9580078125,,0.03,false,false,false
fedavg-ctk,call-graph,family,hiddad,own-domain,0.05,8,0.01190690662284297,0.015457505679177655,-0.003550599056334685,-0.006410256410256415,3,-0.050955030600586836,0.03355690049207142,1.0,0.92578125,,0.03,false,false,false
fedavg-ctk,call-graph,family,leadbolt,federation-wide,0.05,10,0.5314251692878977,0.3552909735299739,0.17613419575792397,0.13337876722701802,10,0.0993309404183432,0.2663125800685672,0.001953125,0.0068359375,,0.03,true,false,false
fedavg-ctk,call-graph,family,leadbolt,own-domain,0.05,7,0.3167961736543795,0.26111768340569197,0.055678490248687595,0.04821428571428571,5,0.007234440626601073,0.11569281012289452,0.15625,0.234375,,0.03,false,false,false
fedavg-ctk,call-graph,family,revmob,federation-wide,0.05,10,0.35667044527137215,0.25792375630485254,0.0987466889665197,0.07851247248716064,7,0.03214331246655827,0.23389162346536918,0.10546875,0.1162109375,,0.03,true,false,false
fedavg-ctk,call-graph,family,revmob,own-domain,0.05,8,0.299656862745098,0.18387254901960784,0.1157843137254902,0.06666666666666665,6,0.015277777777777732,0.22354728985856437,0.109375,0.07421875,,0.03,false,false,false
fedavg-ctk,call-graph,priority-macro,,federation-wide,0.05,10,0.20604470959697174,0.16696493903716145,0.0390797705598103,0.03317061474190176,9,0.02150489510081508,0.06421023840582564,0.00390625,0.3125,,0.03,false,false,false
fedavg-ctk,call-graph,priority-macro,,own-domain,0.05,9,0.1482854156448229,0.08912893872317866,0.059156476921644226,0.0555555555555555,7,0.026499568392198587,0.0957878765670244,0.01953125,0.1015625,,0.03,false,false,false
fedavg-ctk,mcndroid-static,contrast-macro,,federation-wide,0.05,10,0.21408932162318148,0.22631120485925357,-0.012221883236072113,-0.017886979061431246,4,-0.03712662867856392,0.014692305087399929,0.431640625,0.9951171875,,0.03,false,true,false
fedavg-ctk,mcndroid-static,contrast-macro,,own-domain,0.05,10,0.21197515926609983,0.15687018127993624,0.055104977986163615,0.059803045771139686,8,0.010944859919152766,0.09387441305865478,0.048828125,0.1162109375,,0.03,false,false,false
fedavg-ctk,mcndroid-static,family,adwo,federation-wide,0.05,10,0.16800464111795427,0.06494281472118532,0.10306182639676893,0.12594733879000472,9,0.06090771683262716,0.13266748084442176,0.00390625,0.0048828125,,0.03,true,false,false
fedavg-ctk,mcndroid-static,family,adwo,own-domain,0.05,8,0.15633869708638642,0.08647646055905986,0.06986223652732657,0.08427228481898794,6,0.01978002037514874,0.10963835674052277,0.0390625,0.07421875,,0.03,false,false,false
fedavg-ctk,mcndroid-static,family,airpush,federation-wide,0.05,10,0.31909234432607747,0.3065825986072833,0.012509745718794143,0.02982101714088317,6,-0.032322074107148914,0.05513839813217893,0.6953125,0.6875,,0.03,false,false,false
fedavg-ctk,mcndroid-static,family,airpush,own-domain,0.05,10,0.34849936412339,0.235415812040123,0.11308355208326697,0.0707196029776675,8,0.02114212970705856,0.21741422960391277,0.048828125,0.0966796875,,0.03,false,false,false
