experiment,seed,client,family,population,trials,peer_support,target_support_peer_present,target_support_full,centroid-distance-to-known-malware,nearest-known-family-distance,max-jaccard-to-known-family,fraction-active-features-known,distance-to-benign-centroid,learner,local_recall,peer_recall,absent_recall,full_recall,central_full_recall,ctk,pooling,total,headroom,residual_gap,evidence_class
controlled-exposure,107,appchina,revmob,federation-wide,483,47,0,11,5.070039915232185,3.2911416290267845,0.5081081081081081,0.272108843537415,3.78885646342401,fedavg-finetune,0.12215320910973085,0.41821946169772256,0.17598343685300208,0.5900621118012422,0.2277432712215321,0.24223602484472048,0.05383022774327123,0.2960662525879917,0.4679089026915114,0.17184265010351968,C-post-confirmatory-evidence-preserving
controlled-exposure,108,play-early,leadbolt,own-domain,651,50,0,68,2.5858657651653605,2.377152594055778,0.6410256410256411,0.7010309278350515,2.539099669040938,fedavg-finetune,0.49923195084485406,0.6973886328725039,0.30721966205837176,0.8632872503840245,0.8678955453149002,0.3901689708141321,-0.1920122887864823,0.1981566820276498,0.3640552995391705,0.16589861751152069,C-post-confirmatory-evidence-preserving
controlled-exposure,108,play-early,leadbolt,federation-wide,770,50,0,68,2.5858657651653605,2.377152594055778,0.6410256410256411,0.7010309278350515,2.539099669040938,fedavg-finetune,0.509090909090909,0.6974025974025974,0.33506493506493507,0.8506493506493507,0.8675324675324675,0.3623376623376623,-0.17402597402597397,0.18831168831168832,0.3415584415584416,0.1532467532467533,C-post-confirmatory-evidence-preserving
controlled-exposure,108,play-late,airpush,own-domain,53,338,0,7,3.768201120504965,3.5270685725504314,0.4519774011299435,0.528169014084507,4.967075287068495,fedavg-finetune,0.2641509433962264,0.37735849056603776,0.3018867924528302,0.7735849056603774,0.8301886792452831,0.07547169811320759,0.037735849056603765,0.11320754716981135,0.509433962264151,0.39622641509433965,C-post-confirmatory-evidence-preserving
controlled-exposure,108,play-late,airpush,federation-wide,2098,338,0,7,3.768201120504965,3.5270685725504314,0.4519774011299435,0.528169014084507,4.967075287068495,fedavg-finetune,0.76930409914204,0.8693994280266921,0.726882745471878,0.9127740705433747,0.9661582459485224,0.1425166825548141,-0.042421353670161976,0.10009532888465211,0.14346997140133466,0.04337464251668255,C-post-confirmatory-evidence-preserving
controlled-exposure,108,play-late,revmob,own-domain,12,56,0,1,5.077365605417123,4.167422828856588,0.4155844155844156,0.4626865671641791,5.887166282061966,fedavg-finetune,0.4166666666666667,0.75,0.08333333333333333,0.6666666666666666,0.9166666666666666,0.6666666666666666,-0.33333333333333337,0.3333333333333333,0.24999999999999994,-0.08333333333333337,C-post-confirmatory-evidence-preserving
controlled-exposure,108,play-late,revmob,federation-wide,594,56,0,1,5.077365605417123,4.167422828856588,0.4155844155844156,0.4626865671641791,5.887166282061966,fedavg-finetune,0.6750841750841751,0.6515151515151515,0.3181818181818182,0.6919191919191919,0.9175084175084175,0.3333333333333333,-0.3569023569023569,-0.023569023569023573,0.01683501683501687,0.04040404040404044,C-post-confirmatory-evidence-preserving
controlled-exposure,108,anzhi,gappusin,own-domain,427,329,0,89,2.5080381045037523,1.375208525852091,0.6792452830188679,0.5769230769230769,2.503352458514653,fedavg-finetune,0.25526932084309134,0.2388758782201405,0.2646370023419204,0.2646370023419204,0.24121779859484777,-0.025761124121779888,0.00936768149882905,-0.016393442622950838,0.00936768149882905,0.025761124121779888,C-post-confirmatory-evidence-preserving
controlled-exposure,108,anzhi,gappusin,federation-wide,1754,329,0,89,2.5080381045037523,1.375208525852091,0.6792452830188679,0.5769230769230769,2.503352458514653,fedavg-finetune,0.29475484606613456,0.3996579247434436,0.3928164196123147,0.4418472063854048,0.4583808437856328,0.0068415051311288555,0.09806157354618017,0.10490307867730903,0.14709236031927025,0.04218928164196123,C-post-confirmatory-evidence-preserving
controlled-exposure,108,anzhi,adwo,own-domain,150,306,0,38,3.5930646454953004,2.0169920040708975,0.7623762376237624,0.5340909090909091,3.413599568794635,fedavg-finetune,0.64,0.7066666666666667,0.7066666666666667,0.78,0.52,0.0,0.06666666666666665,0.06666666666666665,0.14,0.07333333333333336,C-post-confirmatory-evidence-preserving
controlled-exposure,108,anzhi,adwo,federation-wide,909,306,0,38,3.5930646454953004,2.0169920040708975,0.7623762376237624,0.5340909090909091,3.413599568794635,fedavg-finetune,0.5973597359735974,0.7876787678767877,0.7238723872387238,0.8558855885588559,0.3773377337733773,0.06380638063806388,0.12651265126512645,0.19031903190319033,0.2585258525852585,0.06820682068206818,C-post-confirmatory-evidence-preserving
controlled-exposure,108,appchina,dowgin,own-domain,224,1694,0,112,2.7248998081938742,2.0571446514179352,0.5151515151515151,0.5844155844155844,2.27253826526532,fedavg-finetune,0.4732142857142857,0.36160714285714285,0.3794642857142857,0.41964285714285715,0.5580357142857143,-0.01785714285714285,-0.09375,-0.11160714285714285,-0.05357142857142855,0.0580357142857143,C-post-confirmatory-evidence-preserving
controlled-exposure,108,appchina,dowgin,federation-wide,5256,1694,0,112,2.7248998081938742,2.0571446514179352,0.5151515151515151,0.5844155844155844,2.27253826526532,fedavg-finetune,0.5483257229832572,0.6548706240487062,0.7077625570776256,0.7191780821917808,0.8144977168949772,-0.05289193302891937,0.15943683409436837,0.106544901065449,0.1708523592085236,0.06430745814307459,C-post-confirmatory-evidence-preserving
controlled-exposure,108,appchina,hiddad,own-domain,5,33,0,4,4.8638804813682395,3.9175423203869566,0.38271604938271603,0.2048611111111111,4.220062439581715,fedavg-finetune,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,C-post-confirmatory-evidence-preserving
