set,learner,population,alpha,role,dose,n,mean_ctk,ci_low,ci_high,positive_seeds,evidence_class
replication-set,fedavg,own-domain,0.1,secondary,100,10,0.14800546959992333,0.09561913671318387,0.1978550475459594,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,200,10,0.16709105531637042,0.11287507222449111,0.21216892284158897,10,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.1,secondary,natural,10,0.11808679638917918,0.066170232828386,0.17112389389362498,9,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,10,10,0.01617545982608664,-0.004208155609453316,0.03379337211890479,7,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,25,10,0.025995620537682236,0.011405305578463058,0.04735468875873907,8,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,50,10,0.03582876388761219,0.01557076501838477,0.054784301513613354,8,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,100,10,0.06202977980725845,0.04507564507585056,0.08152956857670972,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,200,10,0.0652399957049702,0.043522473959223866,0.08238618410418427,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.01,secondary,natural,10,0.08205195134768623,0.06203971356197837,0.11490642738662164,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,10,10,0.02588592622204312,0.014401094415380667,0.038380842587533395,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,25,10,0.05416179350804744,0.040656185083407466,0.07469382592709932,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,50,10,0.06649329877798354,0.05475313893044829,0.09156494880462848,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,100,10,0.1335669794313062,0.09875049814048192,0.1634377986665993,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,200,10,0.15340949554334,0.11987581295246826,0.18063929468460765,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.05,secondary,natural,10,0.09552473631232894,0.06330373964977629,0.1291885080336707,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,10,10,0.03964760851969025,0.010614316831050088,0.08982843820526686,7,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,25,10,0.0862892770352049,0.04904138583504547,0.12816161783882882,9,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,50,10,0.12225524602128994,0.07750337721991753,0.15379751401439323,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,100,10,0.14926765299812347,0.12147370575763253,0.17370890211027162,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,200,10,0.1475324419294749,0.1096332066215324,0.1766357179202405,10,D-post-hoc-diagnostic
replication-set,central,federation-wide,0.1,secondary,natural,10,0.14233089775199972,0.10648784003666274,0.16965374708958056,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,10,10,0.02150192407322596,0.000765557966225418,0.07582183439972977,5,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,25,10,0.02648048209480585,0.00701576715923187,0.06495430188235565,6,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,50,10,0.036446529135389885,0.012148026158589812,0.08447947631570552,9,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,100,10,0.055784953735109735,0.03301343292291626,0.09222310271460119,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,200,10,0.06039741112536042,0.03744157946491472,0.10942301015844083,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.01,secondary,natural,10,0.06314297723403851,0.034782777337251436,0.1176342988982594,8,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,10,10,0.02247810970153121,0.006910849921205164,0.038184942014475975,8,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,25,10,0.053171157066486875,0.031822577516079906,0.078822630890905,10,D-post-hoc-diagnostic
replication-set,central,own-domain,0.05,secondary,50,10,0.056597659305486006,0.0342311669276378,0.10215990148887798,10,D-post-hoc-diagnostic
