set,population,alpha,cells,outcome,predictor,spearman_rho,p_value,evidence_class
replication-set,own-domain,0.01,60,placebo_eff,fit_ratio,0.09317572679047054,0.47888545792614534,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,placebo_eff,centroid-distance-to-known-malware,-0.03593963322169887,0.7851460232921228,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,placebo_eff,max-jaccard-to-known-family,0.13883240952353973,0.2900997741089166,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,trim_minus_mean,top_share,-0.11622537955191033,0.3765116622031924,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,trim_minus_mean,n_peers,0.13983904470720593,0.28658216052088226,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,trim_minus_mean,n_peers30,0.19895242075897587,0.12752368217915688,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,trim_minus_mean,peer_rows,0.13835060505905744,0.29179337676513867,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,med_minus_mean,top_share,0.043552192262818354,0.7410870989706344,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,med_minus_mean,n_peers,0.017485911579872834,0.8945048703679587,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,med_minus_mean,n_peers30,0.04809259792837577,0.715187163539619,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,med_minus_mean,peer_rows,-0.0036196454624448614,0.9781024704288107,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,placebo_eff,centroid_distance,0.008027672845663646,0.9514587787409028,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,placebo_eff,placebo_rank,-0.1157980629644672,0.3782807901487468,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,placebo_eff,nearest_known_distance,0.0847553248863225,0.5196651723694966,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,placebo_eff,fit_ratio,0.1439911003053774,0.27237060810900116,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,placebo_eff,centroid-distance-to-known-malware,-0.02456186218041649,0.8522242476374123,D-post-hoc-diagnostic
