set,population,alpha,client,seeds,placebo_eff_mean,placebo_eff_lo,placebo_eff_hi,ctk_minus_pl_mean,ctk_minus_pl_lo,ctk_minus_pl_hi,evidence_class
replication-set,own-domain,0.1,appchina,10,-0.03240298349095781,-0.09179136505183355,-0.0063287594681221025,0.17444326583783054,0.05649012007651051,0.40584936273157607,D-post-hoc-diagnostic
replication-set,own-domain,0.1,play-early,9,0.012589196281800205,0.003883084340295644,0.029514906715458797,0.03329563282889143,0.007835584969468384,0.06352562742379368,D-post-hoc-diagnostic
replication-set,own-domain,0.1,play-late,4,,,,,,,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,anzhi,10,0.0013806970797296846,-0.004879851035853573,0.0059635938084801,0.017695758877260888,0.010252968280718748,0.029514555664654843,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,appchina,10,0.0026346091163390517,-0.007047917184671111,0.014683365721483075,0.01947865184803006,0.004463955794225934,0.03964935231446805,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,play-early,10,-0.003607222969491543,-0.014141026719064396,0.008360817503342576,0.07277633230044986,0.04342372202338236,0.11216858527327014,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,play-late,8,-0.008317003860529849,-0.04048661710602293,0.013304423986043909,0.21495219049551267,0.12564590855332192,0.27115287265928195,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,anzhi,10,0.006023560398778352,-0.004934512118239575,0.018006287237330727,0.07948527334816154,0.027543994116011578,0.1287655285497667,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,appchina,10,-0.006900891718802235,-0.03424783678816482,0.010515785322883173,0.05313963112091129,0.027534627768128487,0.06945512466964476,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,play-early,10,-0.005199180266189022,-0.016854349113024893,0.007130991228776909,0.1075709362488412,0.08175530520336441,0.14051969976885784,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,play-late,8,-0.001382265894811976,-0.0370918555569714,0.02432134848778839,0.19555888478719646,0.10423308405421111,0.3118473868854015,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,anzhi,10,-0.016166371680986804,-0.030732311868551014,-0.004030470668097859,0.23558248295402814,0.15403670388995355,0.3131035804497622,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,appchina,10,-0.010269703525165902,-0.04268786723860739,0.005526185957899631,0.13261744359017863,0.07601263687811854,0.21977106899801085,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,play-early,10,-0.0005634245892243903,-0.009468441426302017,0.007159998309140543,0.07737793759933954,0.06276718877597993,0.1007602465324194,D-post-hoc-diagnostic
