set,population,family,dose,seeds,mean_ctk,ci_low,ci_high,evidence_class
primary-set,own-domain,leadbolt,10,9,0.1227157141020817,0.05427688789730411,0.20913558331450116,D-post-hoc-diagnostic
primary-set,own-domain,leadbolt,100,9,0.3679165567836479,0.24726009613523095,0.48681897832466475,D-post-hoc-diagnostic
primary-set,own-domain,leadbolt,200,9,0.4944259185370036,0.3611147269922182,0.6148570135773561,D-post-hoc-diagnostic
primary-set,own-domain,leadbolt,25,9,0.2513959289556842,0.17710980366006698,0.3299501076200894,D-post-hoc-diagnostic
primary-set,own-domain,leadbolt,50,9,0.31917135005022057,0.21709473418039854,0.4224922013837888,D-post-hoc-diagnostic
primary-set,own-domain,leadbolt,natural,9,0.3279777604751755,0.21330341348002219,0.4840486022396814,D-post-hoc-diagnostic
primary-set,own-domain,revmob,0,9,0.0,,,D-post-hoc-diagnostic
primary-set,own-domain,revmob,10,9,0.08842871333292789,0.020616675789089576,0.24497354497354495,D-post-hoc-diagnostic
primary-set,own-domain,revmob,100,9,0.41021001844756627,0.25268282653313495,0.581275720164609,D-post-hoc-diagnostic
primary-set,own-domain,revmob,200,9,0.4360680330028989,0.267099396276972,0.6158730158730159,D-post-hoc-diagnostic
primary-set,own-domain,revmob,25,9,0.15789241622574954,0.06424162257495591,0.2977072310405644,D-post-hoc-diagnostic
primary-set,own-domain,revmob,50,9,0.25710890145756043,0.15593684546724199,0.3830780162480142,D-post-hoc-diagnostic
primary-set,own-domain,revmob,natural,9,0.23127115895315128,0.09693486590038312,0.3904044516815356,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,0,2,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,10,2,-0.02083333333333337,,,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,100,2,-0.02083333333333337,,,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,200,2,-0.02083333333333337,,,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,25,2,-0.02083333333333337,,,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,50,2,-0.02083333333333337,,,D-post-hoc-diagnostic
replication-set,own-domain,dnotua,natural,2,-0.02083333333333337,,,D-post-hoc-diagnostic
replication-set,own-domain,domob,0,8,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,domob,10,8,0.019766690252895878,0.004343070678540764,0.0317032048102128,D-post-hoc-diagnostic
replication-set,own-domain,domob,100,8,0.13340927670951713,0.07954132983066596,0.19657921226396963,D-post-hoc-diagnostic
replication-set,own-domain,domob,200,8,0.1926218367835822,0.1284735081970419,0.23698186085335615,D-post-hoc-diagnostic
replication-set,own-domain,domob,25,8,0.02099486623219374,-0.0772683925907507,0.06053570963184503,D-post-hoc-diagnostic
replication-set,own-domain,domob,50,8,0.07437051488307224,0.047459301801267624,0.10861627991416946,D-post-hoc-diagnostic
replication-set,own-domain,domob,natural,8,0.08392101105091118,0.042468675053083785,0.18532193995310436,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,10,10,0.05341517254675149,0.029139814823391508,0.0931532677848467,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,100,10,0.16798561279414273,0.11410916824349607,0.223580476256953,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,200,10,0.2063275440110739,0.13685818644874506,0.26730924693340324,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,25,10,0.08498919574577468,0.04639804068229089,0.13136773650378888,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,50,10,0.11982120632778526,0.07146067492984838,0.18105161967587718,D-post-hoc-diagnostic
replication-set,own-domain,inmobi,natural,10,0.1816443429528729,0.11750470774941782,0.2565459103510388,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,10,10,-0.01162319557147139,-0.06978231176685767,0.01622238966596364,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,100,10,-0.020967557551849914,-0.06278357745342798,0.003689704604015471,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,200,10,-0.01280932186446158,-0.045323047366131075,0.022312038783841817,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,25,10,-0.012055992282018846,-0.03314086331412525,0.014096101765751694,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,50,10,-0.01667919846712438,-0.06340371220990312,0.010392895472878114,D-post-hoc-diagnostic
replication-set,own-domain,kuguo,natural,10,0.018546715123893016,-0.04256653323936904,0.05899827720156761,D-post-hoc-diagnostic
replication-set,own-domain,smsreg,0,8,0.0,,,D-post-hoc-diagnostic
replication-set,own-domain,smsreg,10,8,-0.005547003731535351,-0.021019263712552128,0.004400077329478912,D-post-hoc-diagnostic
replication-set,own-domain,smsreg,100,8,0.026022538260280736,-0.006217480840343847,0.047482404016508266,D-post-hoc-diagnostic
