experiment,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,pooling,pooling_lo,pooling_hi,local_recall,local_recall_lo,local_recall_hi,full_recall,full_recall_lo,full_recall_hi,headroom,headroom_lo,headroom_hi,peer_recall,peer_recall_lo,peer_recall_hi,absent_recall,absent_recall_lo,absent_recall_hi,full_central,full_linear,full_trees,n_classes_poor,n_classes,low_headroom,exposure_limited,representation_limited,pooling_responsive,negative_transfer_sensitive,exposure_limited_ci,negative_transfer_sensitive_ci,pooling_responsive_ci,n_labels,labels,evidence_class
replication-family-set,federation-wide,youmi,0.05895756201758837,0.013663650577795195,0.1104207305029211,10,7,-0.05308688982049242,-0.10094884110045466,-0.005195987906489611,0.346197559871164,0.27507664434946605,0.4301824119662621,0.35406062984769354,0.22606986332517845,0.5148002881137624,0.007863069976529599,-0.06670932499911926,0.09274806086864848,0.3520682320682599,0.22175515315542252,0.513132178533615,0.2931106700506715,0.20103475667346035,0.4024958625430837,0.35590566667642415,,,2,2,true,false,true,false,true,false,true,false,3,representation_limited low_headroom negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
replication-family-set,federation-wide,zdtad,-0.019049802236100772,-0.04207875791389892,0.00598175155651498,6,1,-0.06306484636638733,-0.13312215133755945,0.0020326613246966683,0.775727465016983,0.7286575670523611,0.8259214691425876,0.6742709614422719,0.5992647130636909,0.7505327325744657,-0.10145650357471105,-0.1731542135290006,-0.020798230125778954,0.6936128164144949,0.6293834431171742,0.7645444243643618,0.7126626186505957,0.6636469638638837,0.7716232681484904,0.8647810912719308,,,0,2,true,false,false,false,false,false,false,false,1,low_headroom,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,dnotua,0.0038269854965282068,-0.06045872878918608,0.057653970993056414,10,3,0.01236416188861073,-0.017060119384101808,0.03994196428571429,0.6660391524340183,0.47512032878849786,0.8387224895018536,0.6203277905782767,0.44210466237012014,0.8017406403611324,-0.045711361855741685,-0.2236256377234777,0.062086514778325136,0.6822302998191573,0.5166666666666667,0.8493790684360862,0.678403314322629,0.48931353468464855,0.844850760865397,0.6833662303747718,,,0,2,true,false,false,false,false,false,false,false,1,low_headroom,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,domob,0.04757350240341253,0.0017670980531808245,0.10091218762326402,10,6,0.024486525187066066,-0.05015303756019798,0.10935107261923842,0.4628868544874387,0.3177673809507063,0.6329712441610781,0.5497919389403102,0.3871615809629098,0.710930179042653,0.08690508445287148,-0.004134967336277757,0.18124503906024048,0.5349468820779173,0.36827185558036274,0.7089569150019807,0.4873733796745047,0.3288801548840656,0.6587115386454335,0.5193591014898362,,,2,2,false,false,true,false,false,false,false,false,1,representation_limited,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,inmobi,0.1983957395645918,0.11027827381245539,0.29362209165019404,10,9,0.09481533944848033,-0.04516093385953252,0.2749781332828765,0.5336801881160632,0.34790818382048694,0.7073949460166132,0.8509940772283906,0.761731422729181,0.9306266829828034,0.3173138891123274,0.18968220587238233,0.46218602657431906,0.8268912671291353,0.7304385826848998,0.9115703479985611,0.6284955275645436,0.4821640881232598,0.7781758838358481,0.7953047211112996,,,0,2,false,true,false,true,false,true,false,false,2,exposure_limited pooling_responsive,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,kuguo,0.004035086780306363,-0.049552791388627816,0.06090264212655186,10,4,-0.061300373487330584,-0.13919494898053517,0.01053454642462672,0.6443920258603973,0.5569781178257261,0.734974346829374,0.6263880810041238,0.48040830234172494,0.7784730063064056,-0.01800394485627358,-0.10222440408685608,0.07365419801781758,0.5871267391533733,0.4428845731882894,0.7436182381785217,0.5830916523730669,0.4518408689230909,0.7198254451379079,0.6977043632245093,,,0,2,true,false,false,false,false,false,false,false,1,low_headroom,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,smsreg,0.0017997207203841708,-0.08675065572098103,0.0646628210104506,10,6,0.04174308114413311,-0.050178194145631815,0.1361098244924661,0.34221951879280055,0.2545430017206096,0.4296630089662267,0.40300152769089664,0.3449753227857669,0.4756054301241226,0.06078200889809613,-0.03873977313280728,0.16355890359822992,0.3857623206573178,0.31500671210069364,0.47446416553417387,0.3839625999369336,0.3185796020331347,0.45424045214549147,0.5013077289422609,,,2,2,false,false,true,true,false,false,false,false,2,representation_limited pooling_responsive,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,utchi,0.11290451139805517,-0.09756097560975611,0.4362745098039216,6,1,0.0,0.0,0.0,0.0356672629907127,0.0010893246187363835,0.09973962484722887,0.3202405938807011,0.03457793837197631,0.6134016176648547,0.28457333088998843,0.0,0.5816993464052288,0.14857177438876787,0.0,0.441600096828855,0.0356672629907127,0.0010893246187363835,0.09973962484722887,0.44125470121803617,,,2,2,false,false,true,false,false,false,false,false,1,representation_limited,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,youmi,0.02757755169101721,0.00014478781601155613,0.05751389766032855,10,6,-0.04325154710107409,-0.10048256070874116,0.020329955297259998,0.3570544206836033,0.2722826884299467,0.4492210911372647,0.3471371286089806,0.22805273791715402,0.49150162846442763,-0.00991729207462264,-0.06821651302580461,0.05430338122008687,0.34138042527354634,0.21683089897743416,0.4993184950818287,0.3138028735825292,0.19722802889524127,0.45858278266536345,0.323489683396668,,,2,2,true,false,true,false,false,false,false,false,2,representation_limited low_headroom,C-post-confirmatory-evidence-preserving
replication-family-set,own-domain,zdtad,0.11111111111111112,0.02777777777777778,0.22222222222222224,6,3,-0.2777777777777778,-0.5833333333333334,0.0,0.861111111111111,0.7499999999999999,0.9722222222222223,0.6111111111111112,0.3055555555555555,0.888888888888889,-0.25,-0.5833333333333334,4.6490589156179276e-17,0.6944444444444445,0.3888888888888889,0.9444444444444445,0.5833333333333333,0.3055555555555556,0.8333333333333334,0.7222222222222222,,,0,2,true,false,false,false,true,false,false,false,2,low_headroom negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
