set,population,alpha,family,cells,placebo_eff,ctk_minus_pl,ctk_mean,ctk_trim,ctk_med,trim_minus_mean,med_minus_mean,n_peers,n_peers30,top_share,peer_rows,evidence_class
replication-set,federation-wide,0.05,dnotua,10,-0.004816537872145922,0.007897069127248545,0.0030805312551026227,-0.03140865776819314,-0.009109065683095854,-0.034489189023295765,-0.012189596938198478,2.9,0.6,0.8621564429364504,174.5,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,domob,10,0.03182832682190452,0.08956461188868911,0.12139293871059365,0.12211869473790901,0.087140362031379,0.0007257560273153773,-0.03425257667921464,1.6,0.8,0.9219150882335235,92.3,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,inmobi,10,-0.009244635545736735,0.14173544003838828,0.13249080449265155,0.1361436939048452,0.13231788542614106,0.0036528894121936606,-0.00017291906651049072,2.0,0.7,0.8633814440439119,59.4,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,kuguo,10,-0.02184095409301993,0.030149158177698237,0.008308204084678306,-0.018356175809988287,0.06894140888610778,-0.02666437989466659,0.060633204801429474,1.8,1.3,0.9208569439076241,801.3,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,smsreg,10,-0.010869756854823364,0.07251167671518101,0.06164191986035764,0.0712685248601648,0.06870768175499992,0.009626604999807161,0.007065761894642272,2.9,1.6,0.7146887303292393,304.0,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,utchi,10,0.03419595046246909,0.017658885532593253,0.05185483599506234,0.02146078155300967,0.29233632454824166,-0.030394054442052666,0.24048148855317927,1.0,1.0,1.0,51.8,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,youmi,10,0.002159753264362782,0.04906018131936383,0.0512199345837266,0.0625865434488533,0.0759707429134666,0.011366608865126684,0.024750808329739995,2.6,1.2,0.9172296064615413,162.2,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,zdtad,3,-0.07015548686565197,-0.06127561304585111,-0.13143109991150306,-0.23457091694098398,-0.029946399952924734,-0.1031398170294809,0.10148469995857834,1.0,1.0,1.0,136.0,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,dnotua,10,-0.01322080031981363,0.011020792524830656,-0.002200007794982978,-0.015491069095409416,-0.03448893856825128,-0.013291061300426437,-0.032288930773268304,2.9,0.6,0.8621564429364504,174.5,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,domob,10,0.031017762491804518,0.10615777966077333,0.13717554215257785,0.14933076338382253,0.11209865073046701,0.012155221231244689,-0.025076891422110854,1.6,0.8,0.9219150882335235,92.3,D-post-hoc-diagnostic
