representation,seed,arm,client,family,n_benign,n_pos,threshold,cal_recall,cal_fpr,eq_recall,stored_recall,stored_fpr,stored_trials,evidence_class
lamda-static,332,fedavg__family-absent-everywhere,play-early,leadbolt,32805,717,-0.9812684655189514,0.5411436541143654,0.04980948026215516,0.5411436541143654,0.5411436541143654,0.04980948026215516,717,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere,appchina,revmob,2028,448,3.024291753768921,0.04241071428571429,0.03994082840236687,0.046875,0.04241071428571429,0.03994082840236687,448,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere,play-late,hiddad,43512,518,-2.987300157546997,0.361003861003861,0.052675124103695535,0.35714285714285715,0.361003861003861,0.052675124103695535,518,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,play-early,dowgin,31353,2858,-1.1001356840133667,0.9846046186144157,0.05205243517366759,0.9846046186144157,0.9846046186144157,0.05205243517366759,2858,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,appchina,airpush,2075,1075,4.933041095733643,0.7246511627906976,0.060722891566265064,0.6911627906976744,0.7246511627906976,0.060722891566265064,1075,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,play-early,gappusin,31353,546,-1.1001356840133667,0.9358974358974359,0.05205243517366759,0.9322344322344323,0.9358974358974359,0.05205243517366759,546,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,appchina,adwo,2075,337,4.933041095733643,0.3827893175074184,0.060722891566265064,0.31750741839762614,0.3827893175074184,0.060722891566265064,337,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,play-early,leadbolt,31353,641,-1.1001356840133667,0.7581903276131046,0.05205243517366759,0.7581903276131046,0.7581903276131046,0.05205243517366759,641,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,appchina,revmob,2075,412,4.933041095733643,0.308252427184466,0.060722891566265064,0.2621359223300971,0.308252427184466,0.060722891566265064,412,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure,appchina,hiddad,2075,228,4.933041095733643,0.25877192982456143,0.060722891566265064,0.2412280701754386,0.25877192982456143,0.060722891566265064,228,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,play-early,dowgin,31353,2858,0.7310370802879333,0.900629811056683,0.049309475967212066,0.9020293911826452,0.900629811056683,0.049309475967212066,2858,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,appchina,airpush,2075,1075,1.7249212265014648,0.8511627906976744,0.06987951807228916,0.8241860465116279,0.8511627906976744,0.06987951807228916,1075,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,play-early,gappusin,31353,546,0.7310370802879333,0.7362637362637363,0.049309475967212066,0.7417582417582418,0.7362637362637363,0.049309475967212066,546,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,appchina,adwo,2075,337,1.7249212265014648,0.37091988130563797,0.06987951807228916,0.3115727002967359,0.37091988130563797,0.06987951807228916,337,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,play-early,leadbolt,31353,641,0.7310370802879333,0.6146645865834633,0.049309475967212066,0.6318252730109204,0.6146645865834633,0.049309475967212066,641,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,appchina,revmob,2075,412,1.7249212265014648,0.5048543689320388,0.06987951807228916,0.42961165048543687,0.5048543689320388,0.06987951807228916,412,D-post-hoc-diagnostic
lamda-static,333,fedavg__peer-present,appchina,hiddad,2075,228,1.7249212265014648,0.40350877192982454,0.06987951807228916,0.32894736842105265,0.40350877192982454,0.06987951807228916,228,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,play-early,dowgin,31353,2858,-0.9160252213478088,0.9048285514345696,0.05380665327081938,0.9009797060881736,0.9048285514345696,0.05380665327081938,2858,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,appchina,airpush,2075,1075,0.9844080805778503,0.5134883720930232,0.06457831325301205,0.4697674418604651,0.5134883720930232,0.06457831325301205,1075,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,play-early,gappusin,31353,546,-0.9160252213478088,0.6813186813186813,0.05380665327081938,0.6611721611721612,0.6813186813186813,0.05380665327081938,546,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,appchina,adwo,2075,337,0.9844080805778503,0.3026706231454006,0.06457831325301205,0.2522255192878338,0.3026706231454006,0.06457831325301205,337,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,play-early,leadbolt,31353,641,-0.9160252213478088,0.39001560062402496,0.05380665327081938,0.37285491419656785,0.39001560062402496,0.05380665327081938,641,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,appchina,revmob,2075,412,0.9844080805778503,0.09466019417475728,0.06457831325301205,0.07281553398058252,0.09466019417475728,0.06457831325301205,412,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere,appchina,hiddad,2075,228,0.9844080805778503,0.2675438596491228,0.06457831325301205,0.24561403508771928,0.2675438596491228,0.06457831325301205,228,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,appchina,dowgin,1969,3373,7.550694465637207,0.8111473465757486,0.04977145759268664,0.8111473465757486,0.8111473465757486,0.04977145759268664,3373,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,appchina,airpush,1969,1439,7.550694465637207,0.4475330090340514,0.04977145759268664,0.4475330090340514,0.4475330090340514,0.04977145759268664,1439,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,play-early,gappusin,31762,536,-0.3460465967655182,0.9272388059701493,0.052735973805175994,0.9235074626865671,0.9272388059701493,0.052735973805175994,536,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,appchina,adwo,1969,358,7.550694465637207,0.25139664804469275,0.04977145759268664,0.25139664804469275,0.25139664804469275,0.04977145759268664,358,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,appchina,leadbolt,1969,493,7.550694465637207,0.5415821501014199,0.04977145759268664,0.5415821501014199,0.5415821501014199,0.04977145759268664,493,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,play-late,revmob,43601,378,-3.4716429710388184,0.8597883597883598,0.05151257998669755,0.8597883597883598,0.8597883597883598,0.05151257998669755,378,D-post-hoc-diagnostic
lamda-static,334,central__full-exposure,play-early,hiddad,31762,278,-0.3460465967655182,0.6223021582733813,0.052735973805175994,0.6079136690647482,0.6223021582733813,0.052735973805175994,278,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,appchina,dowgin,1969,3373,2.295722246170044,0.8333827453305662,0.061960385982732354,0.7340646308923807,0.8333827453305662,0.061960385982732354,3373,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,appchina,airpush,1969,1439,2.295722246170044,0.5476025017373176,0.061960385982732354,0.5031271716469771,0.5476025017373176,0.061960385982732354,1439,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,play-early,gappusin,31762,536,-0.3211926519870758,0.8283582089552238,0.056388136767206096,0.8041044776119403,0.8283582089552238,0.056388136767206096,536,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,appchina,adwo,1969,358,2.295722246170044,0.3016759776536313,0.061960385982732354,0.2122905027932961,0.3016759776536313,0.061960385982732354,358,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,appchina,leadbolt,1969,493,2.295722246170044,0.6612576064908722,0.061960385982732354,0.565922920892495,0.6612576064908722,0.061960385982732354,493,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,play-late,revmob,43601,378,-2.885817527770996,0.7804232804232805,0.04809522717368868,0.783068783068783,0.7804232804232805,0.04809522717368868,378,D-post-hoc-diagnostic
lamda-static,334,fedavg__peer-present,play-early,hiddad,31762,278,-0.3211926519870758,0.5863309352517986,0.056388136767206096,0.579136690647482,0.5863309352517986,0.056388136767206096,278,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,appchina,dowgin,1969,3373,1.8725712299346924,0.8147050103765194,0.06399187404773997,0.7877260598873407,0.8147050103765194,0.06399187404773997,3373,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,appchina,airpush,1969,1439,1.8725712299346924,0.23002084781097984,0.06399187404773997,0.1911049339819319,0.23002084781097984,0.06399187404773997,1439,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,play-early,gappusin,31762,536,-0.6096230745315552,0.6436567164179104,0.05424721365153328,0.625,0.6436567164179104,0.05424721365153328,536,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,appchina,adwo,1969,358,1.8725712299346924,0.2988826815642458,0.06399187404773997,0.25139664804469275,0.2988826815642458,0.06399187404773997,358,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,appchina,leadbolt,1969,493,1.8725712299346924,0.2535496957403651,0.06399187404773997,0.20892494929006086,0.2535496957403651,0.06399187404773997,493,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,play-late,revmob,43601,378,-2.696275234222412,0.41005291005291006,0.04816403293502443,0.41005291005291006,0.41005291005291006,0.04816403293502443,378,D-post-hoc-diagnostic
lamda-static,334,fedavg__family-absent-everywhere,play-early,hiddad,31762,278,-0.6096230745315552,0.420863309352518,0.05424721365153328,0.4136690647482014,0.420863309352518,0.05424721365153328,278,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,appchina,dowgin,2170,3208,5.591375350952148,0.8011221945137157,0.04976958525345622,0.80143391521197,0.8011221945137157,0.04976958525345622,3208,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,appchina,airpush,2170,1778,5.591375350952148,0.5922384701912261,0.04976958525345622,0.593363329583802,0.5922384701912261,0.04976958525345622,1778,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,anzhi,gappusin,1697,583,6.8518452644348145,0.3259005145797599,0.05126694166175604,0.31217838765008576,0.3259005145797599,0.05126694166175604,583,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,appchina,adwo,2170,387,5.591375350952148,0.3798449612403101,0.04976958525345622,0.3798449612403101,0.3798449612403101,0.04976958525345622,387,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,anzhi,leadbolt,1697,575,6.8518452644348145,0.49043478260869566,0.05126694166175604,0.4817391304347826,0.49043478260869566,0.05126694166175604,575,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,appchina,revmob,2170,506,5.591375350952148,0.27865612648221344,0.04976958525345622,0.2826086956521739,0.27865612648221344,0.04976958525345622,506,D-post-hoc-diagnostic
lamda-static,335,central__full-exposure,play-late,hiddad,44322,270,-4.3043317794799805,0.7814814814814814,0.042033301746311084,0.8074074074074075,0.7814814814814814,0.042033301746311084,270,D-post-hoc-diagnostic
lamda-static,335,fedavg__peer-present,appchina,dowgin,2170,3208,3.124974250793457,0.7057356608478803,0.047926267281105994,0.729426433915212,0.7057356608478803,0.047926267281105994,3208,D-post-hoc-diagnostic
lamda-static,335,fedavg__peer-present,appchina,airpush,2170,1778,3.124974250793457,0.6799775028121485,0.047926267281105994,0.688413948256468,0.6799775028121485,0.047926267281105994,1778,D-post-hoc-diagnostic
