set,learner,population,alpha,role,segment,n,increment,ci_low,ci_high,per10,per10_low,per10_high,evidence_class
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,10->25,10,0.019935962956148415,0.01087302283272865,0.03076837086062183,0.013290641970765609,0.007248681888485766,0.020512247240414554,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,25->50,10,0.02459000606009361,0.013925254435675976,0.03233186751366682,0.009836002424037446,0.005570101774270391,0.012932747005466727,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,50->100,10,0.044245438627319,0.030720491232379257,0.06340196485261756,0.0088490877254638,0.006144098246475852,0.012680392970523514,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.05,PRIMARY,100->200,10,0.03190957471307426,0.019889623433392383,0.04612695267566524,0.0031909574713074266,0.0019889623433392385,0.004612695267566524,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,0->10,10,0.05286640050113328,0.03486848642067904,0.07097451157737666,0.05286640050113328,0.03486848642067904,0.07097451157737666,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,10->25,10,0.026910258974570955,0.020710179959812502,0.03754806152069854,0.017940172649713967,0.013806786639875002,0.025032041013799026,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,25->50,10,0.028185808487185805,0.017811021331593617,0.0410815788189174,0.011274323394874324,0.007124408532637447,0.016432631527566962,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,50->100,10,0.04145988303124104,0.024868570786592985,0.0663350515545104,0.00829197660624821,0.004973714157318597,0.013267010310902081,D-post-hoc-diagnostic
pooled-family-sets,fedavg,federation-wide,0.1,secondary,100->200,10,0.025617316068836327,0.007339896746082906,0.036151780477176675,0.002561731606883633,0.0007339896746082907,0.0036151780477176676,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,0->10,10,0.01581115131531387,0.009081509379129552,0.027528403328877283,0.01581115131531387,0.009081509379129552,0.027528403328877283,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,10->25,10,0.018928809806972362,0.01294316106912307,0.02626891398198785,0.012619206537981573,0.008628774046082047,0.017512609321325232,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,25->50,10,0.01732014680365773,0.010161715137104522,0.024597986297675213,0.0069280587214630915,0.004064686054841809,0.009839194519070086,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,50->100,10,0.03359030992509162,0.02346529898197692,0.050951165893859805,0.006718061985018325,0.004693059796395384,0.010190233178771962,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.01,secondary,100->200,10,0.017026436183065825,0.007476803373761796,0.026020835677215887,0.0017026436183065826,0.0007476803373761796,0.0026020835677215888,D-post-hoc-diagnostic
