set,population,alpha,contrast,n,mean,median,pos,ci_low,ci_high,gate,evidence_class
pooled-family-sets,own-domain,0.05,placebo_eff,10,-0.009233908912475742,-0.007890144418836193,3,-0.018358180275353693,-0.0026683462921810244,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,ctk_minus_pl,10,0.07743374966834168,0.06852086772760925,10,0.050455989858303976,0.11033875222676222,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,ctk_mean,10,0.06819984075586596,0.05083267514352573,9,0.04241667215479186,0.1039692583850071,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,ctk_trim,10,0.06431087405938665,0.05652512477766705,10,0.03890876022497575,0.10292178113211903,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,ctk_med,10,0.10793246980716265,0.10085283514896295,10,0.08082128381715438,0.1481281734734265,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,trim_minus_mean,10,-0.0038889666964793098,-0.013808007143356706,4,-0.022445620062709205,0.018335728635290906,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,med_minus_mean,10,0.03973262905129669,0.04495913996966625,9,0.002753552148801322,0.05694203116885475,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,placebo_eff,10,-0.0036525571567673555,-0.0018570753831451208,3,-0.013302693261094685,0.0027935382197983,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,ctk_minus_pl,10,0.13049679424369579,0.11981252957277826,10,0.09608450273394234,0.16791489223790287,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,ctk_mean,10,0.12684423708692844,0.11750240014352718,10,0.09483717741790211,0.16425445709764142,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,ctk_trim,10,0.1259252920993707,0.13896932046421545,10,0.08853726964001452,0.16072684000044563,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,ctk_med,10,0.11304906795827518,0.12442986232986136,10,0.07154180739564026,0.1471459925512727,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,trim_minus_mean,10,-0.0009189449875577571,0.005267721633193758,6,-0.0172052279545239,0.013107076005656927,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,med_minus_mean,10,-0.013795169128653247,0.0029205242928266803,5,-0.05589106486809857,0.016049062378195242,false,D-post-hoc-diagnostic
