reading,arm,group,representation,seeds,level,r0,diff,pos,ci_low,ci_high,evidence_class
equal-test-fpr,fedavg__peer-present,gappusin,report-json,10,0.4584140285033338,0.5688292986316099,-0.11041527012827612,0,-0.16239371189653426,-0.06470915971208795,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,hiddad,call-graph,10,0.3088362750693995,0.43023162520061875,-0.12139535013121931,0,-0.2565534451203491,-0.06787005204447694,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,hiddad,call-graph,10,0.31311714080939745,0.4218357539945513,-0.10871861318515397,0,-0.2602547005029754,-0.05642560598803066,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,hiddad,mcndroid-static,10,0.4019192068334695,0.43023162520061875,-0.02831241836714939,4,-0.15607559543537391,0.10727972655190167,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,hiddad,mcndroid-static,10,0.387478194080678,0.4218357539945513,-0.03435755991387339,4,-0.1558922650434008,0.10311946678497103,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,hiddad,report-json,10,0.2444148610677115,0.43023162520061875,-0.18581676413290732,0,-0.30031889212869134,-0.12698177825753315,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,hiddad,report-json,10,0.24638625317474258,0.4218357539945513,-0.17544950081980884,0,-0.2887679309346479,-0.11334932154211211,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,priority-macro,call-graph,10,0.5210655798995203,0.4729312644003002,0.04813431549922011,9,0.016213778637612964,0.0791241790422356,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,priority-macro,call-graph,10,0.5215532786716084,0.45968142929073086,0.061871849380877454,10,0.037027101085708204,0.10940163484758954,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,priority-macro,mcndroid-static,10,0.5721526384748107,0.4729312644003002,0.09922137407451051,10,0.06832861506158885,0.1394830204845533,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,priority-macro,mcndroid-static,10,0.5674258956228605,0.45968142929073086,0.10774446633212968,10,0.07711159172874048,0.1715327767860347,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,priority-macro,report-json,10,0.3093614425850569,0.4729312644003002,-0.16356982181524332,0,-0.19021756412600124,-0.11969079049946402,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,priority-macro,report-json,10,0.31074609420795585,0.45968142929073086,-0.14893533508277504,0,-0.1769151691992777,-0.11185669495273395,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,revmob,call-graph,10,0.4745232272387008,0.384835118540007,0.08968810869869363,7,0.004734903060542231,0.20349769621212332,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,revmob,call-graph,10,0.5017432957853684,0.38837923524603124,0.11336406053933712,8,0.02192350974944615,0.22339632380532332,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,revmob,mcndroid-static,10,0.5088278043331196,0.384835118540007,0.12399268579311248,8,0.04387658705742051,0.19400239703042407,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,revmob,mcndroid-static,10,0.5250211872039692,0.38837923524603124,0.13664195195793802,10,0.08564624356478637,0.19363781866572727,D-post-hoc-diagnostic
calibrated,fedavg__peer-present,revmob,report-json,10,0.22346487680591412,0.384835118540007,-0.16137024173409292,1,-0.21613027776329824,-0.07149249227216978,D-post-hoc-diagnostic
equal-test-fpr,fedavg__peer-present,revmob,report-json,10,0.22743800094579103,0.38837923524603124,-0.16094123430024015,1,-0.22175949570276193,-0.06615238753380663,D-post-hoc-diagnostic
