set,population,alpha,stratum,contrast,seeds,mean,ci_low,ci_high,evidence_class
replication-set,own-domain,0.1,single>=0.9,med_minus_mean,10,-0.04535560384283667,-0.1300177958026804,0.014811931698498513,D-post-hoc-diagnostic
replication-set,own-domain,0.1,multi<0.9,ctk_mean,9,0.057022644303107994,0.03394410355978325,0.09234538253353215,D-post-hoc-diagnostic
replication-set,own-domain,0.1,multi<0.9,ctk_trim,9,0.08407028606132459,0.061449166926192546,0.13082428338526636,D-post-hoc-diagnostic
replication-set,own-domain,0.1,multi<0.9,ctk_med,9,0.05393439154708525,0.02709024533789728,0.08318017775490648,D-post-hoc-diagnostic
replication-set,own-domain,0.1,multi<0.9,trim_minus_mean,9,0.027047641758216605,-0.0011199336205766652,0.051985843368726664,D-post-hoc-diagnostic
replication-set,own-domain,0.1,multi<0.9,med_minus_mean,9,-0.003088252756022743,-0.030503116978142633,0.022025659829937812,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,single>=0.9,ctk_mean,10,0.013810150086276302,-0.0004689113127095926,0.02435190854677726,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,single>=0.9,ctk_trim,10,0.02034222404943638,0.011476440403534894,0.03596521940989148,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,single>=0.9,ctk_med,10,-0.000972305992579579,-0.016423507343489695,0.016846174149188604,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,single>=0.9,trim_minus_mean,10,0.0065320739631600806,-0.0051224481393567795,0.02090911741575957,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,single>=0.9,med_minus_mean,10,-0.01478245607885588,-0.03856547418483547,-0.0004037008077351515,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,multi<0.9,ctk_mean,10,0.10608574378707761,0.07867717631547097,0.13486660546812995,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,multi<0.9,ctk_trim,10,0.10390949027674176,0.07407097888410977,0.14196104472685736,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,multi<0.9,ctk_med,10,0.11748317190332566,0.08266487365074453,0.15544098780743126,D-post-hoc-diagnostic
