set,population,alpha,stratum,seeds,cells,mean,ci_low,ci_high,equiv,ctkpl_mean,ctkpl_lo,beyond,evidence_class
pooled-family-sets,federation-wide,0.01,realloc,10,73,-0.0016400330520085515,-0.007204630904411734,0.0030722190173842687,true,0.05317137503290288,0.035740097462754625,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,norealloc,10,70,0.003768133235554939,-0.0032479096608503144,0.009368481053891545,true,0.056530889510680894,0.028593101791709125,false,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,diff(re-no),10,,-0.005408166287563491,-0.01364043973500376,0.003155838280263414,,,,,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,realloc,10,73,0.0004225612415640893,-0.0087518617199014,0.007897402601104553,true,0.10113568473654495,0.07073457237614728,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,norealloc,10,70,-0.0018894396471580833,-0.012614070893638432,0.00523994098387808,true,0.08810438047954271,0.06416257852782081,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,diff(re-no),10,,0.002312000888722173,-0.006956413016200637,0.011738141969374706,,,,,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,realloc,10,73,-0.007052718034038207,-0.014282676435891895,0.0040877875855760025,true,0.152290597199142,0.11545457694828704,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,norealloc,10,70,-0.0026788256039498325,-0.007773224368131954,0.0040085362048730075,true,0.1304046800625597,0.08102178647948956,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,diff(re-no),10,,-0.004373892430088375,-0.01427802373742745,0.007841403472818703,,,,,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,realloc,10,64,-0.007251025048526556,-0.01841174447891044,-0.0015560694298252318,true,0.051278159404003334,0.019330028614661043,false,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,norealloc,10,62,-0.0044859703529391715,-0.013713782416727152,0.00517673746080919,true,0.04620881586300133,-0.0033630039488351266,false,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,diff(re-no),10,,-0.0027650546955873857,-0.01477058659612598,0.007335934825490767,,,,,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,realloc,10,64,-0.021877176266471572,-0.05475827316801889,-0.0063776520759873554,false,0.06755007032180455,0.03249252151661592,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,norealloc,10,62,0.0007773615192583668,-0.012809800365263104,0.012390813748908233,true,0.08451461542712349,0.043185549113892746,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,diff(re-no),10,,-0.02265453778572994,-0.06101910740428899,0.0009366203685055761,,,,,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,realloc,10,64,-0.004032522321125482,-0.01112241498728865,0.005224004107649579,true,0.10262628476192948,0.06908638854771776,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,norealloc,10,62,-0.0007004337060400691,-0.016955178927063275,0.013385792096542047,true,0.1546729596093846,0.07237838172667477,true,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,diff(re-no),10,,-0.0033320886150854136,-0.021674801959953603,0.013702682428849578,,,,,D-post-hoc-diagnostic
