representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,gappusin,federation-wide,331,0.36082474226804123,0.2536082474226804,0.10721649484536083,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,332,0.5224625623960066,0.47088186356073214,0.0515806988352745,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,333,0.9084249084249084,0.9358974358974359,-0.027472527472527486,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,334,0.9514925373134329,0.9272388059701493,0.02425373134328357,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,335,0.22984562607204118,0.3259005145797599,-0.0960548885077187,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,336,0.9395711500974658,0.949317738791423,-0.00974658869395717,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,337,0.943289224952741,0.945179584120983,-0.001890359168241984,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,338,0.8997722095671982,0.9225512528473804,-0.02277904328018221,central-full-exposure-recall
call-graph,family,gappusin,federation-wide,339,0.884393063583815,0.9248554913294798,-0.040462427745664775,central-full-exposure-recall
call-graph,family,gappusin,own-domain,330,0.5783132530120482,0.40963855421686746,0.1686746987951807,central-full-exposure-recall
call-graph,family,gappusin,own-domain,331,0.49411764705882355,0.27058823529411763,0.22352941176470592,central-full-exposure-recall
call-graph,family,gappusin,own-domain,332,0.620253164556962,0.5316455696202531,0.08860759493670889,central-full-exposure-recall
call-graph,family,gappusin,own-domain,334,0.95,0.95,0.0,central-full-exposure-recall
call-graph,family,gappusin,own-domain,335,0.28125,0.3125,-0.03125,central-full-exposure-recall
call-graph,family,gappusin,own-domain,339,0.9375,0.9375,0.0,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,330,0.16423357664233576,0.17883211678832117,-0.014598540145985411,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,331,0.0819327731092437,0.0861344537815126,-0.0042016806722689065,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,332,0.3223938223938224,0.38996138996138996,-0.06756756756756754,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,333,0.22807017543859648,0.25877192982456143,-0.030701754385964952,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,334,0.5107913669064749,0.6223021582733813,-0.11151079136690645,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,335,0.5851851851851851,0.7814814814814814,-0.1962962962962963,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,336,0.4962686567164179,0.5373134328358209,-0.04104477611940299,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,337,0.34328358208955223,0.3333333333333333,0.009950248756218916,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,338,0.2354948805460751,0.22525597269624573,0.010238907849829365,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,339,0.5727272727272728,0.6727272727272727,-0.09999999999999998,central-full-exposure-recall
call-graph,family,hiddad,own-domain,331,0.5,0.5625,-0.0625,central-full-exposure-recall
call-graph,family,hiddad,own-domain,332,0.2638522427440633,0.287598944591029,-0.0237467018469657,central-full-exposure-recall
call-graph,family,hiddad,own-domain,333,0.5625,0.5625,0.0,central-full-exposure-recall
call-graph,family,hiddad,own-domain,334,0.4731182795698925,0.6881720430107527,-0.21505376344086025,central-full-exposure-recall
call-graph,family,hiddad,own-domain,335,0.5512820512820513,0.7628205128205128,-0.21153846153846145,central-full-exposure-recall
call-graph,family,hiddad,own-domain,336,0.23529411764705882,0.4411764705882353,-0.20588235294117646,central-full-exposure-recall
call-graph,family,hiddad,own-domain,337,0.24444444444444444,0.34444444444444444,-0.1,central-full-exposure-recall
call-graph,family,hiddad,own-domain,339,0.5258620689655172,0.6293103448275862,-0.10344827586206895,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,330,0.7840670859538784,0.4339622641509434,0.350104821802935,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,331,0.9393939393939394,0.9299242424242424,0.009469696969697017,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,332,0.7252440725244073,0.7587168758716876,-0.03347280334728031,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,333,0.8127925117004681,0.7581903276131046,0.0546021840873635,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,334,0.7768762677484787,0.5415821501014199,0.23529411764705888,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,335,0.39304347826086955,0.49043478260869566,-0.09739130434782611,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,336,0.7610921501706485,0.5597269624573379,0.20136518771331058,central-full-exposure-recall
