experiment,family,learner,population,alpha,dose,mean_ctk,seed_count
exact-effective-dose-primary,dowgin,central,federation-wide,0.1,50,0.014073389907027101,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.1,100,0.014143240759201637,10
exact-effective-dose-primary,dowgin,central,federation-wide,0.1,200,0.012186294148881028,10
exact-effective-dose-primary,dowgin,central,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,dowgin,central,own-domain,0.01,10,0.026397422330090035,10
exact-effective-dose-primary,dowgin,central,own-domain,0.01,25,0.004334024747349399,10
exact-effective-dose-primary,dowgin,central,own-domain,0.01,50,0.03526534744102214,10
exact-effective-dose-primary,dowgin,central,own-domain,0.01,100,0.04860034022552867,10
exact-effective-dose-primary,dowgin,central,own-domain,0.01,200,0.04565514618335391,10
exact-effective-dose-primary,dowgin,central,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,dowgin,central,own-domain,0.05,10,0.0163170011678898,10
exact-effective-dose-primary,dowgin,central,own-domain,0.05,25,0.014112230343214493,10
exact-effective-dose-primary,dowgin,central,own-domain,0.05,50,0.02112068987913419,10
exact-effective-dose-primary,dowgin,central,own-domain,0.05,100,0.02263695293212183,10
exact-effective-dose-primary,dowgin,central,own-domain,0.05,200,0.010063958481284368,10
exact-effective-dose-primary,dowgin,central,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,dowgin,central,own-domain,0.1,10,0.009294520942553775,10
exact-effective-dose-primary,dowgin,central,own-domain,0.1,25,0.015517835475890729,10
exact-effective-dose-primary,dowgin,central,own-domain,0.1,50,0.010505421182970865,10
exact-effective-dose-primary,dowgin,central,own-domain,0.1,100,0.016744884582290086,10
exact-effective-dose-primary,dowgin,central,own-domain,0.1,200,0.009212895266083144,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.01,10,-0.006659608092082878,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.01,25,-0.011852634277720422,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.01,50,0.001310316079650527,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.01,100,0.02391468494214305,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.01,200,0.046975484511266936,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.05,10,0.0018977677760511403,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.05,25,-0.0014956296996141648,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.05,50,-0.00008746726487334211,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.05,100,-0.0024299127679212494,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.05,200,-0.008725875734433175,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.1,10,-0.0002926194241652302,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.1,25,-0.002265977157148058,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.1,50,0.0023884907631230414,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.1,100,0.0026262030866369803,10
exact-effective-dose-primary,dowgin,fedavg,federation-wide,0.1,200,0.00195510214256559,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.01,10,0.005214358343972818,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.01,25,0.010356200236504715,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.01,50,0.02880005542462271,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.01,100,0.05343846730307015,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.01,200,0.06760195322926031,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.05,10,-0.0016971426205638963,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.05,25,-0.006454300345959058,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.05,50,-0.01796974449010086,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.05,100,-0.016744323044828657,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.05,200,-0.036084755503947546,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.1,10,-0.0070238975910045685,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.1,25,-0.0047182062554418595,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.1,50,-0.0033059763444540312,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.1,100,-0.004786699206134138,10
exact-effective-dose-primary,dowgin,fedavg,own-domain,0.1,200,-0.006395852115335843,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.01,10,0.01754121719915851,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.01,25,-0.01205661114446978,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.01,50,0.035130992528252136,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.01,100,0.024953131311133747,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.01,200,0.045227474183499254,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.05,10,0.001547567902780686,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.05,25,0.016942037860813018,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.05,50,0.013040833636690152,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.05,100,0.05514438563914546,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.05,200,0.06936904649005238,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.1,10,-0.0016193004260999177,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.1,25,0.022593397682355333,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.1,50,0.03740410773072022,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.1,100,0.08092815207391975,10
exact-effective-dose-primary,gappusin,central,federation-wide,0.1,200,0.10476673794748174,10
exact-effective-dose-primary,gappusin,central,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,gappusin,central,own-domain,0.01,10,0.002196211268986452,10
exact-effective-dose-primary,gappusin,central,own-domain,0.01,25,0.010505951414887088,10
exact-effective-dose-primary,gappusin,central,own-domain,0.01,50,0.0019126835519043927,10
exact-effective-dose-primary,gappusin,central,own-domain,0.01,100,-0.002515282805591312,10
exact-effective-dose-primary,gappusin,central,own-domain,0.01,200,0.036872420514522344,10
exact-effective-dose-primary,gappusin,central,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,gappusin,central,own-domain,0.05,10,-0.038375983987935715,10
exact-effective-dose-primary,gappusin,central,own-domain,0.05,25,-0.005009977015834721,10
exact-effective-dose-primary,gappusin,central,own-domain,0.05,50,-0.005275755854251676,10
exact-effective-dose-primary,gappusin,central,own-domain,0.05,100,0.030258469887965257,10
exact-effective-dose-primary,gappusin,central,own-domain,0.05,200,0.03019908942797528,10
exact-effective-dose-primary,gappusin,central,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,gappusin,central,own-domain,0.1,10,-0.015566389708599243,10
exact-effective-dose-primary,gappusin,central,own-domain,0.1,25,0.011767839418133136,10
exact-effective-dose-primary,gappusin,central,own-domain,0.1,50,0.017498872632287804,10
exact-effective-dose-primary,gappusin,central,own-domain,0.1,100,0.04223180388567675,10
exact-effective-dose-primary,gappusin,central,own-domain,0.1,200,0.0746211389728601,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.01,10,0.003160557583287497,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.01,25,0.011543625833734491,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.01,50,0.014513701806927768,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.01,100,0.01857538186391964,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.01,200,0.015384726711437433,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.05,10,0.015531863179035732,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.05,25,0.019638962083036955,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.05,50,0.025253185639634374,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.05,100,0.0387318133161087,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.05,200,0.062245166281420614,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.1,10,0.022000684325118546,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.1,25,0.03937279528482274,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.1,50,0.05762190687320752,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.1,100,0.09090154442034484,10
exact-effective-dose-primary,gappusin,fedavg,federation-wide,0.1,200,0.11234283491116097,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.01,10,0.00914051142885488,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.01,25,0.014023077784401525,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.01,50,0.034220218702730495,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.01,100,0.022319905476156657,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.01,200,0.012254466761004208,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.05,10,0.018202141381888165,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.05,25,0.03021130271598413,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.05,50,0.03691008736472349,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.05,100,0.027027783195115708,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.05,200,0.038643254684505045,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.1,10,0.04234267879161116,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.1,25,0.05032161767118724,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.1,50,0.05517618008207592,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.1,100,0.09657638719309511,10
exact-effective-dose-primary,gappusin,fedavg,own-domain,0.1,200,0.08507148147143277,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.01,10,0.01482353479558135,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.01,25,0.02153095179390539,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.01,50,0.036769138711715076,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.01,100,0.04432130931840571,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.01,200,0.0845382013768266,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.05,10,0.04344539467304674,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.05,25,0.05174831601031269,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.05,50,0.09908397992498073,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.05,100,0.1865542039244937,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.05,200,0.19566759114495505,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.1,10,0.054720370862288516,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.1,25,0.11081647870273928,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.1,50,0.15727055837706963,10
exact-effective-dose-primary,hiddad,central,federation-wide,0.1,100,0.20015088548783755,10
