experiment,seed,salt,client,family,peer_recall,trials,absent_recall,full_recall,local_recall,learner,ctk_gain
large-family-set-3,302,0,anzhi,mobwin,0.14432989690721648,97,0.12371134020618557,0.36082474226804123,0.5979381443298969,fedavg,0.02061855670103091
large-family-set-3,302,0,appchina,revmob,0.4448669201520912,789,0.05449936628643853,0.5779467680608364,0.09252217997465145,fedavg,0.3903675538656527
large-family-set-3,302,0,appchina,plankton,0.7654867256637168,226,0.6902654867256637,0.7389380530973452,0.6327433628318584,fedavg,0.0752212389380531
large-family-set-3,303,0,play-early,airpush,0.816420664206642,2168,0.8011992619926199,0.8833025830258303,0.7509225092250923,fedavg,0.015221402214022128
large-family-set-3,303,0,play-late,revmob,0.7727272727272727,506,0.5592885375494071,0.8438735177865613,0.6047430830039525,fedavg,0.2134387351778656
large-family-set-3,303,0,anzhi,adwo,0.35066006600660066,1212,0.29455445544554454,0.41089108910891087,0.5239273927392739,fedavg,0.05610561056105612
large-family-set-3,303,0,anzhi,ewind,0.1624548736462094,277,0.1588447653429603,0.16606498194945848,0.22382671480144403,fedavg,0.0036101083032490933
large-family-set-3,303,0,anzhi,baiduprotect,0.5364238410596026,151,0.5562913907284768,0.45695364238410596,0.25165562913907286,fedavg,-0.019867549668874163
large-family-set-3,303,0,anzhi,mobwin,0.2948717948717949,156,0.2564102564102564,0.27564102564102566,0.33974358974358976,fedavg,0.03846153846153849
large-family-set-3,303,0,appchina,plankton,0.6694214876033058,242,0.6074380165289256,0.6735537190082644,0.5082644628099173,fedavg,0.06198347107438018
large-family-set-3,304,0,play-early,airpush,0.7590933052187665,1897,0.63995782814971,0.9072219293621507,0.8039008961518187,fedavg,0.11913547706905647
large-family-set-3,304,0,play-early,ewind,0.9050445103857567,337,0.857566765578635,0.8813056379821959,0.8664688427299704,fedavg,0.04747774480712175
large-family-set-3,304,0,play-late,revmob,0.8230383973288815,599,0.46410684474123537,0.7729549248747913,0.6160267111853088,fedavg,0.35893155258764614
large-family-set-3,304,0,anzhi,adwo,0.46494066882416396,927,0.3117583603020496,0.5307443365695793,0.39050701186623515,fedavg,0.15318230852211434
large-family-set-3,304,0,anzhi,mobwin,0.5266666666666666,150,0.3466666666666667,0.58,0.26666666666666666,fedavg,0.17999999999999994
large-family-set-3,304,0,appchina,plankton,0.6451612903225806,217,0.5299539170506913,0.6359447004608295,0.46543778801843316,fedavg,0.11520737327188935
large-family-set-3,304,0,appchina,baiduprotect,0.7465753424657534,146,0.8835616438356164,0.7191780821917808,0.7328767123287672,fedavg,-0.136986301369863
