hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-CTRL-2,replication-set,fedavg,federation-wide,0.1,ctk-trimmed-mean-aggregation,,10,0.11624344873911027,0.12972789038307275,10,0.074866858962656,0.15016840014323168,greater,0.03,0.0048828125,0.009765625,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.01,ctk-median-aggregation,,10,0.042922488029033964,0.0319107377136036,9,0.022119275410784192,0.07617732823799249,greater,0.03,0.2158203125,0.2158203125,0.03,false,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.01,ctk-median-aggregation,,10,0.0556976181025696,0.041422442638717416,10,0.034592134834632964,0.08002422644795712,greater,0.03,0.0419921875,0.0419921875,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.05,ctk-median-aggregation,,10,0.10793246980716267,0.10085283514896293,10,0.07991015212015445,0.14835979419014067,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.05,ctk-median-aggregation,,10,0.1262079582277237,0.13735853150350852,10,0.1044224888554047,0.1450542630270155,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.1,ctk-median-aggregation,,10,0.11304906795827523,0.12442986232986142,10,0.07210321146234072,0.1476129206122734,greater,0.03,0.0048828125,0.0048828125,0.03,true,false,true
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.1,ctk-median-aggregation,,10,0.13362769806265745,0.13311202286942675,10,0.10552770535293232,0.16472354303254205,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.01,ctk-median-aggregation,,10,0.06399293871832487,0.04823472050892934,10,0.036234429497263375,0.11040946282111942,greater,0.03,0.080078125,0.16015625,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,federation-wide,0.01,ctk-median-aggregation,,10,0.08049908930025367,0.06696854989144871,10,0.04961224035591917,0.13128613299807887,greater,0.03,0.0068359375,0.0068359375,0.03,true,false,true
H-CTRL-2,primary-set,fedavg,own-domain,0.05,ctk-median-aggregation,,10,0.11018238400748429,0.10793459711911732,10,0.0827329714855375,0.14024515456704556,greater,0.03,0.0009765625,0.001953125,0.03,true,false,true
