representation,seed,arm,n_scores,nonfinite,min,max,abs_gt_1e3,abs_gt_1e4,evidence_class
mcndroid-static,337,central__family-absent-everywhere__dose-all,226129,0,-103.92465209960938,152.80799865722656,0,0,D-post-hoc-diagnostic
mcndroid-static,337,central__full-exposure__dose-all,226129,0,-69.41747283935547,141.7617950439453,0,0,D-post-hoc-diagnostic
mcndroid-static,337,central__peer-present__dose-all,226129,0,-64.53805541992188,137.5648956298828,0,0,D-post-hoc-diagnostic
mcndroid-static,337,fedavg__family-absent-everywhere__dose-all,226129,0,-92.64476013183594,180.73471069335938,0,0,D-post-hoc-diagnostic
mcndroid-static,337,fedavg__full-exposure__dose-all,226129,0,-57.52325439453125,197.12118530273438,0,0,D-post-hoc-diagnostic
mcndroid-static,337,fedavg__peer-present__dose-all,226129,0,-63.01944351196289,181.13571166992188,0,0,D-post-hoc-diagnostic
mcndroid-static,337,local__peer-present__dose-all,226129,0,-28.492734909057617,40.308834075927734,0,0,D-post-hoc-diagnostic
mcndroid-static,338,central__family-absent-everywhere__dose-all,227174,0,-108.96943664550781,111.60993957519531,0,0,D-post-hoc-diagnostic
mcndroid-static,338,central__full-exposure__dose-all,227174,0,-77.2576675415039,118.45646667480469,0,0,D-post-hoc-diagnostic
mcndroid-static,338,central__peer-present__dose-all,227174,0,-80.19763946533203,125.07694244384766,0,0,D-post-hoc-diagnostic
mcndroid-static,338,fedavg__family-absent-everywhere__dose-all,227174,0,-106.35369110107422,225.17999267578125,0,0,D-post-hoc-diagnostic
mcndroid-static,338,fedavg__full-exposure__dose-all,227174,0,-115.0573501586914,222.09730529785156,0,0,D-post-hoc-diagnostic
mcndroid-static,338,fedavg__peer-present__dose-all,227174,0,-114.2173080444336,224.030029296875,0,0,D-post-hoc-diagnostic
mcndroid-static,338,local__peer-present__dose-all,227174,0,-28.501100540161133,46.127559661865234,0,0,D-post-hoc-diagnostic
mcndroid-static,339,central__family-absent-everywhere__dose-all,207470,0,-119.86991882324219,125.45208740234375,0,0,D-post-hoc-diagnostic
mcndroid-static,339,central__full-exposure__dose-all,207470,0,-66.17900848388672,116.6874008178711,0,0,D-post-hoc-diagnostic
mcndroid-static,339,central__peer-present__dose-all,207470,0,-70.00088500976562,129.3502197265625,0,0,D-post-hoc-diagnostic
mcndroid-static,339,fedavg__family-absent-everywhere__dose-all,207470,0,-102.58829498291016,225.16612243652344,0,0,D-post-hoc-diagnostic
mcndroid-static,339,fedavg__full-exposure__dose-all,207470,0,-84.6471176147461,212.1221160888672,0,0,D-post-hoc-diagnostic
mcndroid-static,339,fedavg__peer-present__dose-all,207470,0,-87.1370849609375,221.7191619873047,0,0,D-post-hoc-diagnostic
mcndroid-static,339,local__peer-present__dose-all,207470,0,-32.70457077026367,54.175167083740234,0,0,D-post-hoc-diagnostic
call-graph,330,central__family-absent-everywhere__dose-all,224980,0,-112526.0,6204.50048828125,605,370,D-post-hoc-diagnostic
