measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
fedavg-ctk,mcndroid-static,family,adwo,own-domain,0.05,8,0.15633869708638642,0.11462140333165069,0.182138673964568
fedavg-ctk,mcndroid-static,family,airpush,federation-wide,0.05,10,0.31909234432607747,0.26166821624347714,0.3865214641924849
fedavg-ctk,mcndroid-static,family,airpush,own-domain,0.05,10,0.34849936412339,0.23053814160056177,0.47603289555342976
fedavg-ctk,mcndroid-static,family,dowgin,federation-wide,0.05,10,0.014669492947031793,0.0025079994146459924,0.026297139481792093
fedavg-ctk,mcndroid-static,family,dowgin,own-domain,0.05,9,0.0024715007716132765,-0.06787998113168978,0.0389092855103701
fedavg-ctk,mcndroid-static,family,gappusin,federation-wide,0.05,10,0.30978181183133136,0.28547102306175237,0.3486484055369557
fedavg-ctk,mcndroid-static,family,gappusin,own-domain,0.05,6,0.12819582499768248,0.058623417721518994,0.18473304984644465
fedavg-ctk,mcndroid-static,family,hiddad,federation-wide,0.05,10,0.035264621450902804,0.016303199199267756,0.0832289418101037
fedavg-ctk,mcndroid-static,family,hiddad,own-domain,0.05,8,-0.002900306076844987,-0.028155604962978593,0.020112322292214116
fedavg-ctk,mcndroid-static,family,leadbolt,federation-wide,0.05,10,0.3085061275964351,0.2628522012357213,0.3695074539179176
fedavg-ctk,mcndroid-static,family,leadbolt,own-domain,0.05,7,0.2683802278438077,0.2267300643607264,0.33256481578902725
fedavg-ctk,mcndroid-static,family,revmob,federation-wide,0.05,10,0.36685639889459204,0.2674250350318787,0.47409307748816293
fedavg-ctk,mcndroid-static,family,revmob,own-domain,0.05,8,0.4100816993464052,0.2462804458333281,0.5736111111111112
fedavg-ctk,mcndroid-static,priority-macro,,federation-wide,0.05,10,0.23730094405894211,0.19718352687144822,0.28784827657201595
fedavg-ctk,mcndroid-static,priority-macro,,own-domain,0.05,9,0.16948741894204145,0.12410448508743649,0.22991747367628015
fedavg-ctk,report-json,contrast-macro,,federation-wide,0.05,10,0.15259555923147658,0.13577302751641196,0.16991136694942297
fedavg-ctk,report-json,contrast-macro,,own-domain,0.05,10,0.09634106385521164,0.06933564755429626,0.12530820356098726
fedavg-ctk,report-json,family,adwo,federation-wide,0.05,10,0.03386992812782556,0.015478586426706985,0.05153953080894142
fedavg-ctk,report-json,family,adwo,own-domain,0.05,8,0.018903587762294168,-0.0011958857020088129,0.039363563679322096
fedavg-ctk,report-json,family,airpush,federation-wide,0.05,10,0.27728810728130215,0.2403596878006466,0.3179081458137529
fedavg-ctk,report-json,family,airpush,own-domain,0.05,10,0.156769171654246,0.09947508534177693,0.1950966339576793
fedavg-ctk,report-json,family,dowgin,federation-wide,0.05,10,0.09854289788501283,0.04352922772856053,0.14308063707626228
fedavg-ctk,report-json,family,dowgin,own-domain,0.05,9,0.05262247278810071,0.015220908733722519,0.084462854424251
fedavg-ctk,report-json,family,gappusin,federation-wide,0.05,10,0.209440793016118,0.15347575176183056,0.26279017248900116
fedavg-ctk,report-json,family,gappusin,own-domain,0.05,6,0.1441290852165176,0.08371241854985094,0.22388930255646566
fedavg-ctk,report-json,family,hiddad,federation-wide,0.05,10,0.022182037487206062,-0.0007753349840689939,0.06037835232350826
fedavg-ctk,report-json,family,hiddad,own-domain,0.05,8,0.02951236997434899,-0.008328170098994447,0.06150639068165889
fedavg-ctk,report-json,family,leadbolt,federation-wide,0.05,10,0.08195567252811471,0.0627822935104183,0.10766671320371934
fedavg-ctk,report-json,family,leadbolt,own-domain,0.05,7,0.0626810048910356,0.04068138873191101,0.08101672618630205
fedavg-ctk,report-json,family,revmob,federation-wide,0.05,10,0.09268905935936575,0.07432050788043901,0.11771481514348295
fedavg-ctk,report-json,family,revmob,own-domain,0.05,8,0.034983660130718956,0.011944444444444445,0.06911764705882353
fedavg-ctk,report-json,priority-macro,,federation-wide,0.05,10,0.10810396328756329,0.08533912739454942,0.14049527483384097
fedavg-ctk,report-json,priority-macro,,own-domain,0.05,9,0.05506776841402328,0.03493361358205317,0.0867980252885705
