experiment,learner,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,evidence_class
model-family-replication-linear,central,own-domain,adwo,0.02377076822029799,-0.000977824459552345,0.05003780010271484,10,6,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,adwo,0.07134133906139792,0.03263529627418949,0.10865659772874967,10,9,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,own-domain,gappusin,0.03096093516538325,0.020328310804946875,0.042013892996894155,10,9,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,gappusin,0.04174118013653262,0.03219643767747697,0.0519885228961698,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,own-domain,leadbolt,0.1647879279614274,0.12905625142489094,0.20544241131355695,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,leadbolt,0.08485712934109572,0.04942028311224496,0.12493563821529576,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,own-domain,hiddad,-0.012212371946414492,-0.034202127659574456,0.00451167257683215,10,3,C-post-confirmatory-evidence-preserving
model-family-replication-linear,central,federation-wide,hiddad,-0.0005196047122002001,-0.006613597613610823,0.005231696567278504,10,5,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,airpush,0.2078172771920551,0.09396873751729054,0.3494321952417566,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,airpush,0.16381104204175195,0.07333201931931625,0.2713634857537195,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,revmob,0.13491386981947623,0.06250595919145693,0.20996070906432757,10,8,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,revmob,0.1206143638605355,0.06767328190929144,0.1794620657555636,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,dowgin,0.005402870735879195,-0.008304957215522962,0.020199930078358814,10,4,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,dowgin,0.015360510340971778,0.0055899478704297175,0.025013992575312893,10,8,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,adwo,0.05621680986614687,0.013876908360930532,0.09967820386527819,10,7,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,adwo,0.12639778121525028,0.060121649115349465,0.1910412080468424,10,9,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,gappusin,0.08118734523533747,0.0480958734094431,0.1131282171929383,10,9,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,gappusin,0.0965086181055285,0.07273550280144338,0.11857434250802051,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,leadbolt,0.26866767792077384,0.14718241783516928,0.4238172221631506,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,leadbolt,0.15151988937501973,0.11452393621246915,0.19552189449956484,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,own-domain,hiddad,0.02384925601446252,-0.018790849673202614,0.08046690307328605,10,2,C-post-confirmatory-evidence-preserving
model-family-replication-trees,central,federation-wide,hiddad,0.009201416387276559,0.001800269558635618,0.01920192535636654,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,airpush,0.23133241125530418,0.14603241806647596,0.32508822562152406,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,airpush,0.1839633701282697,0.12323948571726323,0.2509955931381602,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,revmob,0.21719130253169153,0.09172546402237476,0.3756963059823473,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,revmob,0.2413201741078621,0.14217499032538683,0.35645138498527307,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,dowgin,-0.002845533008257806,-0.020147328146463993,0.014196278704743241,10,4,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,dowgin,0.030655165718329123,0.011593052470450362,0.053003966783853114,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,adwo,0.034981699609447685,0.010883346114679594,0.06036157565871436,10,7,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,adwo,0.09893225207702136,0.05945195758918838,0.13753443516553063,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,gappusin,0.05250516382901145,0.03986523748758666,0.06539275881513885,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,gappusin,0.06874626743696874,0.04801597125961664,0.09238745756634473,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,leadbolt,0.27000709473931783,0.13106355370177714,0.42296754948939613,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,leadbolt,0.22656887105977525,0.16850400548184313,0.2851251248989709,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,own-domain,hiddad,-0.018188128679367734,-0.07045346034394845,0.014416675358086488,10,3,C-post-confirmatory-evidence-preserving
controlled-exposure,fedprox,federation-wide,hiddad,0.016620755319874073,-0.0008982503889252228,0.03816340070343418,10,5,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,dnotua,-0.001967213114754096,-0.005901639344262288,0.0,10,0,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,dnotua,-0.006439962015543604,-0.016477876255859884,0.003641519397661175,10,2,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,inmobi,0.11225183477746623,0.07617072459430109,0.15712819625923388,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,inmobi,0.15646826628817295,0.08751885390049925,0.23455147885065497,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,smsreg,0.04523116536909564,0.00716334749898435,0.0872640533443624,10,5,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,smsreg,0.028066211939394077,0.005813601908075622,0.0538434445729821,10,8,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,kuguo,0.010211113147308803,-0.010715970350565573,0.031407215768775615,10,4,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,kuguo,0.034106256982482555,0.019076911616462813,0.0502665997044881,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,youmi,0.031227578160215895,0.017365086128793842,0.046882377088080567,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,youmi,0.0511499429971648,0.027420019536347186,0.07819589299465463,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,zdtad,0.055555555555555546,-0.08333333333333337,0.25,6,1,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,zdtad,0.006890640294682671,-0.011969646460604904,0.02985894246652465,6,3,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,domob,0.04065110598029038,0.017710240024790037,0.06676965093603403,10,8,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,domob,0.09331714383336574,0.04510358444268918,0.1479778126659638,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,own-domain,utchi,0.0,0.0,0.0,6,0,C-post-confirmatory-evidence-preserving
replication-family-set,fedprox,federation-wide,utchi,0.0,0.0,0.0,6,0,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,airpush,0.09618526840001511,0.027472029065205673,0.19341032453114626,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,airpush,0.09175571543030363,0.052371213962982756,0.13154639676376295,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,revmob,0.1719704151683557,0.09306254767353166,0.2953251402963932,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,revmob,0.21703259740913775,0.16372854223209252,0.27222117442002125,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,dowgin,-0.08029482228037145,-0.13983419731352478,-0.025043914051251653,10,1,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,dowgin,-0.03179802820693891,-0.0624160862271374,0.0019396612398569608,10,2,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,adwo,0.014500938453335254,-0.009828085704528538,0.04180540880376029,10,6,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,adwo,0.04636398167620423,0.010924121786373116,0.07311214389003586,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,gappusin,-0.009768440708882525,-0.03736481119454589,0.01609146838272568,10,3,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,gappusin,-0.0004233211062647124,-0.030726794605428886,0.03218211798068622,10,4,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,leadbolt,0.24401264639504924,0.10971907808459042,0.40381909077796935,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,leadbolt,0.24371372283228557,0.1958432293967336,0.2945592032176191,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,own-domain,hiddad,-0.04205024799517916,-0.07294824549205026,-0.013845040675844794,10,0,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg-finetune,federation-wide,hiddad,0.022232345659011398,0.004329005886064954,0.04317135361641018,10,8,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,dnotua,-0.03509463056607898,-0.09881332314644226,0.010495644290393099,10,2,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,dnotua,-0.022578730169419088,-0.05731839634414424,0.0029508368385881387,10,2,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,inmobi,0.11551295136992339,0.06743739715449894,0.17555786266016157,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,inmobi,0.15208818517642114,0.07422784751492197,0.22992436295703006,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,smsreg,0.0700361680664705,0.021221421604380817,0.12631287769834365,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,smsreg,0.060437567298115856,0.029321922504042676,0.09202851859239472,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,kuguo,0.0031072058608104247,-0.038351202394490636,0.04677891031703718,10,5,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,kuguo,0.022239932742210727,-0.01293372525285208,0.05791588441166808,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,youmi,-0.012517105456396588,-0.05349363525660156,0.03242056322396474,10,3,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,youmi,0.01752146010999568,-0.016974401145864633,0.05765693512721679,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,zdtad,0.08333333333333336,-0.055555555555555546,0.22222222222222224,6,2,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,zdtad,0.013774666019499652,-0.05260545892895504,0.07565564645210664,6,4,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,domob,0.01827927247367865,-0.0076176992998387896,0.05008207225655998,10,3,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,domob,0.05364388119045442,0.004951033134434628,0.10446590034721709,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,own-domain,utchi,0.0,0.0,0.0,6,0,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg-finetune,federation-wide,utchi,0.0,0.0,0.0,6,0,C-post-confirmatory-evidence-preserving
controlled-exposure,blend,own-domain,airpush,0.0463737823079939,0.01268468574422873,0.09875096477460525,10,8,C-post-confirmatory-evidence-preserving
