measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
central-full-exposure-recall,mcndroid-static,family,gappusin,federation-wide,0.05,10,0.844343268533704,0.698741474018804,0.1456017945149,0.018439975521028107,9,0.05140225382098128,0.2816215492980293,0.00390625,0.2783203125,0.03125,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,family,gappusin,own-domain,0.05,6,0.7552949667869792,0.5686453931885397,0.18664957359843945,0.20878450510904384,5,0.07792816836968129,0.2764693920880843,0.0625,0.046875,,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,family,hiddad,federation-wide,0.05,10,0.42188144757654616,0.40861135417033195,0.013270093406214097,-0.027267237305046488,3,-0.045840143843392814,0.15869830169073987,0.65234375,0.9033203125,1.0,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,hiddad,own-domain,0.05,8,0.5556625957335182,0.53481534503532,0.02084725069819815,-0.0625,2,-0.07461899824032175,0.25589246770611357,0.640625,0.875,,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,leadbolt,federation-wide,0.05,10,0.5941641019730448,0.6341154823822316,-0.03995138040918673,-0.023334762721555158,3,-0.0806910879382768,-0.008416270852607212,0.10546875,0.9990234375,,0.03,false,true,false
central-full-exposure-recall,mcndroid-static,family,leadbolt,own-domain,0.05,7,0.7091311311464613,0.6829609819189105,0.02617014922755075,-0.007155635062611743,2,-0.05827406963859046,0.14918156630129148,1.0,0.59375,,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,revmob,federation-wide,0.05,10,0.40391591949629496,0.31747084707645895,0.08644507241983601,0.10412533068783072,7,-0.0014548118311484516,0.16728941350135573,0.130859375,0.1376953125,0.78515625,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,revmob,own-domain,0.05,8,0.48299019607843136,0.2987254901960784,0.18426470588235294,0.14999999999999997,7,0.06000000000000001,0.30446346557881043,0.0390625,0.0390625,,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,priority-macro,,federation-wide,0.05,10,0.5567135452021817,0.47494122508853165,0.08177232011365003,0.06114755748946844,10,0.05290813946655121,0.1315561902948306,0.001953125,0.0048828125,,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,priority-macro,,own-domain,0.05,9,0.563684233302496,0.44132390526940246,0.12236032803309344,0.09229208924949288,9,0.07645914288403412,0.1867397525119804,0.00390625,0.001953125,,0.03,true,false,false
central-full-exposure-recall,report-json,contrast-macro,,federation-wide,0.05,10,0.4534884045789479,0.7181963019586666,-0.2647078973797186,-0.2751714859217953,0,-0.29025107889559254,-0.22702235020331518,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,contrast-macro,,own-domain,0.05,10,0.4042643855958284,0.7949962712107288,-0.3907318856149004,-0.36739208766591075,0,-0.46302565127851397,-0.3213165807864052,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,adwo,federation-wide,0.05,10,0.27320234184129505,0.43473452656205336,-0.16153218472075834,-0.19269646788551736,3,-0.24370623602836244,-0.06549424250187211,0.02734375,0.998046875,,0.03,false,true,false
central-full-exposure-recall,report-json,family,adwo,own-domain,0.05,8,0.16519394413623728,0.32091857427417386,-0.15572463013793653,-0.13403421810041574,0,-0.24969791765396027,-0.0812352918631487,0.015625,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,airpush,federation-wide,0.05,10,0.43275570795203755,0.6578809974384559,-0.22512528948641836,-0.25207659807765104,0,-0.2733721055113799,-0.17044544086110341,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,report-json,family,airpush,own-domain,0.05,10,0.3948419612785682,0.9218795639957837,-0.5270376027172156,-0.5602534562211983,0,-0.5991621839378929,-0.4103856390258084,0.001953125,1.0,,0.03,false,true,false
