representation,group,family,population,seed,value,baseline,difference,measure
call-graph,family,hiddad,federation-wide,336,0.458955223880597,0.5373134328358209,-0.07835820895522388,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,337,0.3283582089552239,0.3333333333333333,-0.00497512437810943,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,338,0.24573378839590443,0.22525597269624573,0.020477815699658702,central-full-exposure-recall
call-graph,family,hiddad,federation-wide,339,0.4818181818181818,0.6727272727272727,-0.19090909090909092,central-full-exposure-recall
call-graph,family,hiddad,own-domain,331,0.0625,0.5625,-0.5,central-full-exposure-recall
call-graph,family,hiddad,own-domain,332,0.25065963060686014,0.287598944591029,-0.03693931398416889,central-full-exposure-recall
call-graph,family,hiddad,own-domain,333,0.5625,0.5625,0.0,central-full-exposure-recall
call-graph,family,hiddad,own-domain,334,0.5161290322580645,0.6881720430107527,-0.17204301075268824,central-full-exposure-recall
call-graph,family,hiddad,own-domain,335,0.6730769230769231,0.7628205128205128,-0.08974358974358965,central-full-exposure-recall
call-graph,family,hiddad,own-domain,336,0.19117647058823528,0.4411764705882353,-0.25,central-full-exposure-recall
call-graph,family,hiddad,own-domain,337,0.2,0.34444444444444444,-0.14444444444444443,central-full-exposure-recall
call-graph,family,hiddad,own-domain,339,0.5,0.6293103448275862,-0.1293103448275862,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,330,0.8197064989517819,0.4339622641509434,0.3857442348008385,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,331,0.9488636363636364,0.9299242424242424,0.018939393939393923,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,332,0.7140864714086471,0.7587168758716876,-0.04463040446304045,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,333,0.8127925117004681,0.7581903276131046,0.0546021840873635,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,334,0.8336713995943205,0.5415821501014199,0.2920892494929006,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,335,0.6556521739130434,0.49043478260869566,0.16521739130434776,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,336,0.8208191126279863,0.5597269624573379,0.26109215017064846,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,337,0.7784946236559139,0.6365591397849463,0.14193548387096766,central-full-exposure-recall
call-graph,family,leadbolt,federation-wide,338,0.9119718309859155,0.8626760563380281,0.04929577464788737,central-full-exposure-recall
