measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
central-full-exposure-recall,report-json,family,hiddad,federation-wide,0.05,10,0.24795679348134936,0.17850391758100104,0.3204744049038668
central-full-exposure-recall,report-json,family,hiddad,own-domain,0.05,8,0.41748336537659003,0.2808355913235014,0.6424320388200635
central-full-exposure-recall,report-json,family,leadbolt,federation-wide,0.05,10,0.23152421546617935,0.16958050518621645,0.3000947730119069
central-full-exposure-recall,report-json,family,leadbolt,own-domain,0.05,7,0.26890541874579516,0.20269783874780106,0.3386497631319119
central-full-exposure-recall,report-json,family,revmob,federation-wide,0.05,10,0.1826909237395217,0.1336584072960347,0.31278642249400435
central-full-exposure-recall,report-json,family,revmob,own-domain,0.05,8,0.08472222222222223,0.008333333333333333,0.20277777777777778
central-full-exposure-recall,report-json,priority-macro,,federation-wide,0.05,10,0.3539801871167275,0.29509065996937706,0.4196676408963576
central-full-exposure-recall,report-json,priority-macro,,own-domain,0.05,9,0.29724342072413434,0.23345436999341418,0.3983426556692935
fedavg-ctk,call-graph,contrast-macro,,federation-wide,0.05,10,0.3718806561338575,0.3325619400840809,0.4139951871668945
fedavg-ctk,call-graph,contrast-macro,,own-domain,0.05,10,0.22306536181874007,0.18599668086770002,0.29558117072222817
fedavg-ctk,call-graph,family,adwo,federation-wide,0.05,10,0.11910514858994539,0.07049671887827563,0.16520448554176495
fedavg-ctk,call-graph,family,adwo,own-domain,0.05,8,0.08836829125653395,0.03890928995474048,0.13614025480178732
fedavg-ctk,call-graph,family,airpush,federation-wide,0.05,10,0.516324311829812,0.41224073092986147,0.6151814277040378
fedavg-ctk,call-graph,family,airpush,own-domain,0.05,10,0.29535095190244565,0.25764391173558576,0.34944784562318965
fedavg-ctk,call-graph,family,dowgin,federation-wide,0.05,10,0.09445482307342673,0.06362843496536223,0.13701821424480126
fedavg-ctk,call-graph,family,dowgin,own-domain,0.05,9,0.07575816212525215,0.027267946789279685,0.2092216153185834
fedavg-ctk,call-graph,family,gappusin,federation-wide,0.05,10,0.19277086827315615,0.14822492416369398,0.3118972702816209
