evidence_class,experiment,population,scope,client,family,seed_count,observations,cells,pooling_mean,pooling_ci_low,pooling_ci_high,hurt_seeds,hurts,hurts_interval_below_zero,ctk_mean,ctk_ci_low,ctk_ci_high,repair_mean,repair_ci_low,repair_ci_high,new_capability_mean,new_capability_ci_low,new_capability_ci_high,harm_mean,harm_ci_low,harm_ci_high,repair_share
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,play-late,airpush,2,2,1,-0.1842105263157895,,,1,true,false,0.3517874875868918,,,0.1842105263157895,,,0.1675769612711023,,,0.0,,,0.5236414961185603
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,appchina,adwo,1,1,1,0.006738544474393482,,,0,false,false,-0.021563342318059286,,,0.0,,,0.0,,,-0.021563342318059286,,,
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,adwo,10,10,3,-0.06157364804174896,-0.1211303672096043,-0.008479076087350422,5,true,true,0.06956954190388746,0.0350009860278212,0.09515874016864234,0.04439012415173406,0.017105263157894735,0.07785654057889924,0.027335751983959322,0.007109507640067914,0.06203992615559747,-0.002156334231805929,-0.010781671159029643,0.0,0.6188857709838965
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,dowgin,10,10,3,-0.0036086204841391132,-0.07865257011012777,0.10444388185128559,6,true,false,-0.03479757651368558,-0.11845223727557372,0.005287704520500575,0.010295795869301521,0.0,0.029735372029394636,0.0,,,-0.04509337238298709,-0.1328798185941043,-0.0108843537414966,1.0
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,gappusin,10,10,3,-0.04975828719633263,-0.1112787908181706,0.05073906504553724,8,true,false,0.020709329411731148,0.0005741897441615933,0.04614204044339634,0.01754321624120031,0.002988338192419826,0.0429883381924198,0.007037037037037039,0.0,0.035185185185185194,-0.003870923866506203,-0.01143282946561634,-0.0006410256410256416,0.7137117767916806
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,hiddad,10,10,4,0.027996569786306956,-0.09592749217020514,0.07723404255319148,1,false,false,-0.008899434478283036,-0.03788416075650117,0.010653942428035041,0.0,,,0.005678973717146429,0.0,0.02626720901126407,-0.014578408195429465,-0.043735224586288396,0.0,0.0
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,leadbolt,10,10,4,-0.14126199717468566,-0.35278642382595954,0.03740092771403154,6,true,false,0.30620917511472284,0.16849653600502495,0.49704329418117793,0.19594668185937034,0.0755857473794685,0.40509106725661037,0.11026249325535256,0.055591852213743784,0.196272312287205,0.0,,,0.6399112037905391
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,airpush,10,10,3,-0.025535518846411687,-0.13930087534050611,0.03791760048902267,5,true,false,0.11011483788809047,0.04696787848445929,0.27923354334563794,0.05900513138972806,0.01721511853850336,0.180714744107448,0.0511097064983624,0.021391877471674006,0.10386926832387805,0.0,,,0.5358508673435535
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,,revmob,10,10,2,-0.18017957030256804,-0.3615546646067278,-0.09960352838232674,9,true,true,0.3013923849478769,0.17759255617734732,0.44866895499618614,0.16177885837782863,0.08843815968510713,0.33120984709607915,0.13961352657004833,0.05942028985507246,0.23480587957736246,0.0,,,0.5367715524922994
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client,anzhi,,8,17,5,-0.052807511322627884,-0.12028157101209347,0.021268240904492475,5,true,false,0.05551820502188049,0.022211291419152304,0.12174407063604893,0.04224109479429202,0.01009676547165387,0.12151499185311555,0.01589006807176312,0.0008223684210526272,0.04762083730253236,-0.0026129578441746494,-0.006222499805954142,-0.0007588459458897419,0.7266514673312703
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client,appchina,,10,24,7,-0.033260184304574794,-0.09045529452734857,0.006941064141505049,5,true,false,0.035548856215874426,0.009727470101643428,0.06682744088780418,0.025488354350017818,0.011148106546854943,0.048742146663306694,0.015643141918817032,0.0031383588781148984,0.03799396542906084,-0.0055826400529604275,-0.014275085034013604,-0.0007407919144178433,0.6196797262960315
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client,play-early,,10,18,6,0.012939113049482406,-0.04637393327270089,0.09081248254299085,5,false,false,0.07029233272016237,0.01598452224962624,0.18988875354264292,0.04749982695643467,0.021345581622869862,0.08110878473484039,0.04491353878901605,0.016997249130879133,0.13047992247977414,-0.02212103302528834,-0.06614460204885737,-0.005875241779497093,0.5139930417345823
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client,play-late,,6,11,4,-0.27489750223842185,-0.5200665061346176,-0.06256013852598398,5,true,true,0.4781490357604772,0.3414622171982881,0.6255331957344341,0.29245069372778354,0.11681286549707603,0.5191606467148262,0.18569834203269373,0.10663319724888744,0.23894624938276823,0.0,,,0.6116308344377442
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,overall,,,10,70,22,-0.061988724608511306,-0.10232030138504591,-0.02211335943890788,7,true,true,0.1091854654677629,0.07256411759691646,0.14789465143942349,0.06985140112702327,0.04691659661860379,0.11340919268556474,0.04871964129455801,0.029031287542190004,0.0724988343198019,-0.009385576953818385,-0.02003689031700518,-0.00420762687676385,0.5891101208224642
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,anzhi,adwo,6,6,1,-0.1930566090538545,-0.3086788750192481,-0.07512787598572783,5,true,true,0.14196515571448345,0.09410334761027998,0.18326493067456448,0.0995094338979579,0.04124258349096302,0.16536232902997125,0.042455721816525537,0.0,0.12609351432880844,0.0,,,0.7009426601699972
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,anzhi,dowgin,3,3,1,-0.09325917857009984,-0.17454884878655885,-0.04283538477842874,3,true,true,-0.0013611951675528051,-0.04175609756097565,0.047604231487243354,0.01586807716241445,0.0,0.047604231487243354,0.0,,,-0.017229272329967255,-0.04175609756097565,-0.003310573142975374,1.0
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,gappusin,6,6,1,-0.08844293025318302,-0.1522880129441537,-0.04771856280595834,5,true,true,0.039990696898981166,0.014489384807327513,0.0606152620040476,0.029493845954264578,0.008402676644413076,0.056254614482102394,0.01049685094471659,0.0,0.04198740377886635,0.0,,,0.7375176788933625
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,hiddad,4,4,1,-0.1010185507398928,-0.18463988775229667,-0.017397213727488953,3,true,true,0.03850369085574278,0.01705681943070668,0.07310627155572491,0.030093904923021074,0.005555555555555564,0.0713730434865047,0.008409785932721708,0.0,0.025229357798165125,0.0,,,0.7815849404092283
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,leadbolt,2,2,1,-0.050223916329462145,,,2,true,false,0.3080343870388278,,,0.050223916329462145,,,0.25781047070936564,,,0.0,,,0.1630464598847901
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-early,airpush,6,6,1,-0.011243900612662913,-0.04412248967415546,0.020687600984551673,3,true,false,0.05570509752712386,0.03291708555994477,0.09954354225432037,0.02387992295947104,0.0046494992846924195,0.05017478076509363,0.031825174567652825,0.019151226178797408,0.04683717038774401,0.0,,,0.42868469887954963
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,play-late,revmob,5,5,1,-0.12632766006553747,-0.2229936369343149,-0.035371637381433695,5,true,true,0.4529663744550068,0.324319779153193,0.6264722179028663,0.12632766006553747,0.035371637381433695,0.2229936369343149,0.3266387143894694,0.14460089617984356,0.5538106598326014,0.0,,,0.2788897083531431
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client-family-cell,appchina,dowgin,4,4,1,0.0998436453127062,0.05701240625601406,0.17750182574634304,0,false,false,0.0012199310083816362,-0.02693424608355896,0.017859242713768098,0.0,,,0.01083220887590991,0.003524804177545693,0.01811703905704093,-0.009612277867528274,-0.02883683360258482,0.0,0.0
