mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,scope,experiment,salt,alpha,metric,learner,aggregation,sensitivity,exceeds_practical_threshold,ci_excludes_zero
0.13202371622627085,0.13758084051368452,0.09755102149192021,0.15120151802208703,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,federation-unseen-recall,central,paired-seed-macro,,true,true
0.12023922777141709,0.10646727902919362,0.06622357437689641,0.17939192564093148,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.23148826265142733,0.23624791592663164,0.19950140960732896,0.26239292839048173,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.1447009921139761,0.13965073746309736,0.13575845851333695,0.16187224894964664,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,family-macro-unseen-recall,fedavg,paired-seed-macro,,true,true
0.1243467356951927,0.1302416359952716,0.10465819893327447,0.14271558854129807,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,federation-unseen-recall,fedavg,paired-seed-macro,,true,true
0.10621151692425972,0.10149748018961072,0.07663193634783078,0.14044045830064136,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,own-domain-unseen-recall,fedavg,paired-seed-macro,,true,true
0.19843736293378855,0.2056303753444037,0.15981272316782935,0.2338713153623903,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.1,worst-client-unseen-recall,fedavg,paired-seed-macro,,true,true
0.08004047054018501,0.08401003900312073,0.06988959657567761,0.08781608472842062,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.05,,fedavg,micro-pooled,all-families,true,true
0.0738308594579762,0.08041744284532032,0.061947471635752344,0.0827038193493436,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.05,,fedavg,micro-pooled,deduplicated-test,true,true
0.08241182404829159,0.07865828999163929,0.06117732918200761,0.10622386961570413,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.05,,fedavg,micro-pooled,top-family-removal,true,true
0.0751350491091868,0.060571012154709315,0.052426141270765204,0.11735009220412862,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.01,family-macro-unseen-recall,central,paired-seed-macro,,true,true
0.08975274911818187,0.08144067804503746,0.06259034103210845,0.13340384021979534,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.01,federation-unseen-recall,central,paired-seed-macro,,true,true
0.08600695484808998,0.08101076084404168,0.06410696988224017,0.10927207890569898,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.01,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.044432235577618384,0.02559113837764145,0.022498776894988963,0.0934673596998585,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.01,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.060324627747467274,0.05103654452136404,0.042487069196919275,0.08759201071255528,10,10,B-confirmatory-sensitivity,linear-model,model-family-replication-linear,0,0.01,family-macro-unseen-recall,fedavg,paired-seed-macro,,true,true
