experiment,learner,condition,alpha,mean_realised_fpr,mean_worst_client_fpr,runs,valid_operating_runs,mean_fpr_deviation_from_target,evidence_class
natural-scarcity,central,family-absent-everywhere,0.1,0.10371576907577204,0.12609917660998807,10,10,0.003715769075772035,B-confirmatory-sensitivity
natural-scarcity,central,peer-present,0.01,0.01073683161432178,0.015060472601346473,10,10,0.0007368316143217795,B-confirmatory-sensitivity
natural-scarcity,central,peer-present,0.05,0.0505750522409236,0.06348740415440515,10,10,0.0005750522409236,B-confirmatory-sensitivity
natural-scarcity,central,peer-present,0.1,0.10127202387444442,0.12416140590518894,10,10,0.0012720238744444168,B-confirmatory-sensitivity
natural-scarcity,fedavg,family-absent-everywhere,0.01,0.011156720966013715,0.016488107076409676,10,10,0.0011567209660137152,B-confirmatory-sensitivity
natural-scarcity,fedavg,family-absent-everywhere,0.05,0.05101406865371906,0.0650334051130274,10,10,0.001014068653719058,B-confirmatory-sensitivity
natural-scarcity,fedavg,family-absent-everywhere,0.1,0.10372271151693133,0.12872459692001467,10,10,0.0037227115169313207,B-confirmatory-sensitivity
natural-scarcity,fedavg,peer-present,0.01,0.010944243113650016,0.016164655737933638,10,10,0.0009442431136500156,B-confirmatory-sensitivity
natural-scarcity,fedavg,peer-present,0.05,0.05034351645985706,0.06522760059689872,10,10,0.00034351645985705725,B-confirmatory-sensitivity
natural-scarcity,fedavg,peer-present,0.1,0.10155333445150705,0.12384165098090058,10,10,0.0015533344515070435,B-confirmatory-sensitivity
natural-scarcity,local,peer-present,0.01,0.010318667682082106,0.01389485695004913,10,10,0.000318667682082106,B-confirmatory-sensitivity
natural-scarcity,local,peer-present,0.05,0.05019624423918941,0.06227402644495036,10,10,0.00019624423918940953,B-confirmatory-sensitivity
natural-scarcity,local,peer-present,0.1,0.10041251100878501,0.12296509431836344,10,10,0.0004125110087850048,B-confirmatory-sensitivity
package-only-grouping,central,family-absent-everywhere,0.01,0.010325330978722024,0.01234394941712271,10,10,0.000325330978722024,B-confirmatory-sensitivity
package-only-grouping,central,family-absent-everywhere,0.05,0.050890584017641585,0.05461836474089189,10,10,0.0008905840176415825,B-confirmatory-sensitivity
package-only-grouping,central,family-absent-everywhere,0.1,0.10253852129191646,0.10814022317519316,10,10,0.0025385212919164513,B-confirmatory-sensitivity
