evidence_class,experiment,learner,contrast,aggregate_metric,recall_metric,seed_count,aggregate_mean,aggregate_ci_low,aggregate_ci_high,aggregate_verdict,recall_mean,recall_ci_low,recall_ci_high,recall_verdict,material_gain_threshold,verdicts_opposed,masked_gain,masked_loss,sign_disagreement_seeds,gain_missed_seeds,false_reassurance_seeds,opposite_conclusion_seeds,seed_correlation
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-local,auroc,own-domain-unseen-recall,10,-0.00844232041493217,-0.010457471592272718,-0.006943403091273259,interval-below-reference,0.04613157748408754,0.004523639566959113,0.11213666332450546,interval-above-reference,0.03,true,false,false,6,5,0,5,-0.46572921507406445
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-local,auroc,federation-unseen-recall,10,-0.00844232041493217,-0.010457471592272718,-0.006943403091273259,interval-below-reference,0.06809287203175146,0.03353226328465155,0.127965567092885,interval-above-reference,0.03,true,true,false,8,6,0,6,-0.4710713293823903
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-local,auprc,own-domain-unseen-recall,10,-0.002347931786866253,-0.007742960640625536,-0.00011926282735512947,interval-below-reference,0.04613157748408754,0.004523639566959113,0.11213666332450546,interval-above-reference,0.03,true,false,false,5,3,1,4,-0.5570565391076826
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-local,auprc,federation-unseen-recall,10,-0.002347931786866253,-0.007742960640625536,-0.00011926282735512947,interval-below-reference,0.06809287203175146,0.03353226328465155,0.127965567092885,interval-above-reference,0.03,true,true,false,3,2,0,2,-0.6100534004120739
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.0023568377817091424,0.0008335604816980713,0.004346394684865567,interval-above-reference,0.02279538666143091,0.0077117668704126,0.0402085666543639,interval-above-reference,0.03,false,false,false,5,0,0,0,0.1824862796277093
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.0023568377817091424,0.0008335604816980713,0.004346394684865567,interval-above-reference,0.04912551516770665,0.038616603771669436,0.061738099817728744,interval-above-reference,0.03,false,false,false,2,2,0,2,0.07276629273905498
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.002703952654365083,0.0008550528134147798,0.0041113620034232655,interval-above-reference,0.02279538666143091,0.0077117668704126,0.0402085666543639,interval-above-reference,0.03,false,false,false,5,0,0,0,-0.021071131045450255
C-post-confirmatory-evidence-preserving,replication-family-set,fedavg-finetune,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.002703952654365083,0.0008550528134147798,0.0041113620034232655,interval-above-reference,0.04912551516770665,0.038616603771669436,0.061738099817728744,interval-above-reference,0.03,false,false,false,2,2,0,2,0.14256513634923998
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-local,auroc,own-domain-unseen-recall,10,0.005153898534878065,0.004156178140027566,0.006152530351409321,interval-above-reference,0.06919671753051403,0.03828605735150356,0.15956497495271554,interval-above-reference,0.03,false,false,false,0,0,0,0,-0.4255442067071128
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-local,auroc,federation-unseen-recall,10,0.005153898534878065,0.004156178140027566,0.006152530351409321,interval-above-reference,0.09862145071744208,0.06992552082983707,0.16143230841488992,interval-above-reference,0.03,false,false,false,0,0,0,0,-0.20143416572086664
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-local,auprc,own-domain-unseen-recall,10,0.007483854799400991,0.005516008596078287,0.009827940740565937,interval-above-reference,0.06919671753051403,0.03828605735150356,0.15956497495271554,interval-above-reference,0.03,false,false,false,0,0,0,0,-0.3860070886797939
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-local,auprc,federation-unseen-recall,10,0.007483854799400991,0.005516008596078287,0.009827940740565937,interval-above-reference,0.09862145071744208,0.06992552082983707,0.16143230841488992,interval-above-reference,0.03,false,false,false,0,0,0,0,-0.2705660335798846
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.0009531925972701139,0.00046784485967380776,0.0012998949129967925,interval-above-reference,0.022824220552482406,-0.00028856878533376005,0.04081782964017786,interval-includes-reference,0.03,false,false,false,2,0,1,1,0.5046125454123555
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.0009531925972701139,0.00046784485967380776,0.0012998949129967925,interval-above-reference,0.04201442465131798,0.026933850025142266,0.05821792745620635,interval-above-reference,0.03,false,false,false,1,0,0,0,0.4038785535493176
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.0004713685270926082,-0.0007668736733830153,0.0015898053824734042,interval-includes-reference,0.022824220552482406,-0.00028856878533376005,0.04081782964017786,interval-includes-reference,0.03,false,false,false,2,1,0,1,0.5017621708803698
C-post-confirmatory-evidence-preserving,replication-family-set,blend,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.0004713685270926082,-0.0007668736733830153,0.0015898053824734042,interval-includes-reference,0.04201442465131798,0.026933850025142266,0.05821792745620635,interval-above-reference,0.03,false,false,false,3,1,0,1,0.5069886780761044
