experiment,family,learner,local_recall,absent_recall,peer_recall,full_recall,ctk_gain,trials,seed_count,novelty,classification
model-family-replication-linear,adwo,central,0.3857525639760781,0.589220771191462,0.6605621102528598,0.6672474159632535,0.0713413390613979,920.3,10,2.0631458838286605,rescued
model-family-replication-linear,airpush,central,0.3527783758688218,0.502556645942539,0.6451243426210955,0.6923796410287562,0.14256769667855643,2419.2,10,2.5482840362252213,rescued
model-family-replication-linear,dowgin,central,0.3447295669219184,0.7690596639676359,0.8020358065435845,0.8231987409801566,0.03297614257594861,5910.7,10,1.88928102476,rescued
model-family-replication-linear,gappusin,central,0.2519719121839529,0.32729055217707576,0.36903173231360836,0.4114286206793648,0.04174118013653262,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
model-family-replication-linear,hiddad,central,0.10017475326884032,0.15663083912573553,0.1561112344135353,0.15362719065745392,-0.0005196047122002001,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
model-family-replication-linear,leadbolt,central,0.15359085173273063,0.30050334347170493,0.38536047281280067,0.4329283678709291,0.08485712934109571,817.9,10,2.7129486906531946,poorly-rescued-under-full-exposure
model-family-replication-linear,revmob,central,0.09904040898284255,0.2306246274161537,0.3906703603995859,0.399419432682422,0.16004573298343222,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
model-family-replication-linear,adwo,fedavg,0.3857525639760781,0.56467219736328,0.6716549093577289,0.686855516738741,0.1069827119944488,920.3,10,2.0631458838286605,rescued
model-family-replication-linear,airpush,fedavg,0.3527783758688218,0.5044123296999247,0.6332061073327102,0.6783435971475749,0.1287937776327855,2419.2,10,2.5482840362252213,rescued
model-family-replication-linear,dowgin,fedavg,0.3447295669219184,0.6413614289823898,0.6987993836020637,0.7249743491458212,0.05743795461967387,5910.7,10,1.88928102476,rescued
model-family-replication-linear,gappusin,fedavg,0.2519719121839529,0.2817915672200183,0.3402171285350091,0.36320548342137815,0.05842556131499076,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
model-family-replication-linear,hiddad,fedavg,0.10017475326884032,0.18408729206151214,0.18260432412068803,0.1878556027878694,-0.0014829679408240926,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
model-family-replication-linear,leadbolt,fedavg,0.15359085173273063,0.3032073966342622,0.3872495731275888,0.4240349830792575,0.0840421764933266,817.9,10,2.7129486906531946,poorly-rescued-under-full-exposure
model-family-replication-linear,revmob,fedavg,0.09904040898284255,0.24972491755639514,0.3967179806058211,0.400400855766319,0.14699306304942597,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
model-family-replication-trees,adwo,central,0.6623044704462907,0.6493217048755505,0.7757194860908008,0.76101715571277,0.12639778121525028,920.3,10,2.0631458838286605,rescued
model-family-replication-trees,airpush,central,0.5880380175141402,0.5585925162812875,0.7224035583230395,0.7988205235230234,0.16381104204175195,2419.2,10,2.5482840362252213,rescued
model-family-replication-trees,dowgin,central,0.7365805966397078,0.8953741485185474,0.910734658859519,0.9186564206900254,0.015360510340971778,5910.7,10,1.88928102476,rescued
model-family-replication-trees,gappusin,central,0.3546115145099044,0.38185467026211684,0.47836328836764536,0.5838778993725535,0.0965086181055285,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
model-family-replication-trees,hiddad,central,0.16699810133334458,0.18584442504795984,0.1950458414352364,0.17892341484108878,0.009201416387276559,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
model-family-replication-trees,leadbolt,central,0.26463728496072136,0.31121218520435473,0.46273207457937443,0.5248750637924291,0.15151988937501973,817.9,10,2.7129486906531946,poorly-rescued-under-full-exposure
model-family-replication-trees,revmob,central,0.3601685784687671,0.33772193851558213,0.45833630237611767,0.49537225299688153,0.1206143638605355,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
natural-scarcity,adwo,central,0.7769491965590861,0.9227898441362641,0.9653971940480608,,0.04260734991179674,922.625,8,2.0631458838286605,not-classifiable-without-full-exposure
natural-scarcity,airpush,central,0.5653271087152368,0.6309536321305713,0.7911029559268604,,0.16014932379628904,2419.2,10,2.5482840362252213,not-classifiable-without-full-exposure
natural-scarcity,dowgin,central,0.6214468025609923,0.872197710136331,0.891759012206762,,0.019561302070431105,5934.705882352941,10,1.88928102476,not-classifiable-without-full-exposure
natural-scarcity,gappusin,central,0.520499897199252,0.8484082044375528,0.9486962047907668,,0.10028800035321399,1500.8,10,1.590757471258689,not-classifiable-without-full-exposure
natural-scarcity,hiddad,central,0.30573156541813484,0.1392886664099525,0.19635701729935046,,0.05706835088939795,457.0,6,4.189897997223157,not-classifiable-without-full-exposure
natural-scarcity,leadbolt,central,0.4077316900652729,0.36590378653093864,0.6576688009955918,,0.2917650144646531,821.421052631579,10,2.7129486906531946,not-classifiable-without-full-exposure
natural-scarcity,revmob,central,0.28199545591452596,0.1863006390106751,0.4685224170654099,,0.2822217780547348,619.8823529411765,10,3.319853285343657,not-classifiable-without-full-exposure
natural-scarcity,adwo,fedavg,0.7769491965590861,0.881219986639968,0.9062710799336108,,0.025051093293642718,922.625,8,2.0631458838286605,not-classifiable-without-full-exposure
natural-scarcity,airpush,fedavg,0.5653271087152368,0.669096050782206,0.8187820403638886,,0.14968598958168258,2419.2,10,2.5482840362252213,not-classifiable-without-full-exposure
natural-scarcity,dowgin,fedavg,0.6214468025609923,0.7981358361312704,0.7956516828701101,,-0.0024841532611602816,5934.705882352941,10,1.88928102476,not-classifiable-without-full-exposure
natural-scarcity,gappusin,fedavg,0.520499897199252,0.6949959753785633,0.7940249572582028,,0.09902898187963945,1500.8,10,1.590757471258689,not-classifiable-without-full-exposure
natural-scarcity,hiddad,fedavg,0.30573156541813484,0.1604236567332027,0.1858004708637224,,0.02537681413051968,457.0,6,4.189897997223157,not-classifiable-without-full-exposure
natural-scarcity,leadbolt,fedavg,0.4077316900652729,0.364922181805657,0.6778315151206515,,0.3129093333149945,821.421052631579,10,2.7129486906531946,not-classifiable-without-full-exposure
natural-scarcity,revmob,fedavg,0.28199545591452596,0.16038337202111566,0.4969605007565774,,0.33657712873546175,619.8823529411765,10,3.319853285343657,not-classifiable-without-full-exposure
package-only-grouping,adwo,central,0.6706012805224085,0.5131606759601253,0.5558651911627228,0.566675255508303,0.04270451520259757,953.8,10,2.0631458838286605,poorly-rescued-under-full-exposure
package-only-grouping,airpush,central,0.6348861917345905,0.654937463012724,0.8195526335805752,0.8972236910783666,0.16461517056785113,2371.8,10,2.5482840362252213,rescued
package-only-grouping,dowgin,central,0.6094029779283746,0.8195671507266098,0.8592839349100014,0.8455095159470541,0.039716784183391605,5857.3,10,1.88928102476,rescued
package-only-grouping,frmy,central,1.0,1.0,1.0,1.0,0.0,388.44444444444446,9,2.645777827448137,rescued
package-only-grouping,gappusin,central,0.36124611148104024,0.3309050810045657,0.41373703027728254,0.48723114068085416,0.08283194927271677,1412.3,10,1.590757471258689,poorly-rescued-under-full-exposure
package-only-grouping,hiddad,central,0.2651809759810186,0.24280984768209893,0.3810849359937084,0.36866722139030494,0.13827508831160956,356.0,10,4.189897997223157,poorly-rescued-under-full-exposure
package-only-grouping,leadbolt,central,0.3575177575032277,0.3213899431121431,0.5945948711137297,0.6346923500003709,0.2732049280015865,772.0,10,2.7129486906531946,rescued
package-only-grouping,revmob,central,0.2625898160453428,0.19712610861405055,0.5862795512543115,0.563756628175309,0.3891534426402609,600.8,10,3.319853285343657,poorly-rescued-under-full-exposure
package-only-grouping,adwo,fedavg,0.6706012805224085,0.59448131585907,0.6987055381591156,0.7150932018983437,0.1042242223000455,953.8,10,2.0631458838286605,rescued
package-only-grouping,airpush,fedavg,0.6348861917345905,0.6906167095595327,0.8110583733961848,0.8835954160824813,0.120441663836652,2371.8,10,2.5482840362252213,rescued
package-only-grouping,dowgin,fedavg,0.6094029779283746,0.789239248200915,0.7698331832946391,0.7687279616033156,-0.019406064906275933,5857.3,10,1.88928102476,rescued
package-only-grouping,frmy,fedavg,1.0,1.0,1.0,1.0,0.0,388.44444444444446,9,2.645777827448137,rescued
package-only-grouping,gappusin,fedavg,0.36124611148104024,0.33903560850899295,0.389951955096495,0.44018331850228165,0.050916346587502014,1412.3,10,1.590757471258689,poorly-rescued-under-full-exposure
